n10 8.36038
n10 9.66761
n11 8.34548
n12 7.1361
n12 8.34905
n14 9.71941
n15 8.36032
n16 6.00218
n16 8.3605
n16 9.68023
n18 9.68402
n19 7.1446
n19 9.68656
n20 7.13011
n20 8.47267
n21 8.34539
n22 5.93616
n22 7.10871
n22 8.36069
n23 7.0952
n23 9.80648
n24 7.1507
n24 8.52952
n27 6.00625
n27 9.71489
n28 7.18318
n29 6.05144
n29 9.7553
n2 7.2342
n2 9.67355
n30 7.15934
n30 9.78994
n32 7.12031
n32 9.71239
n33 5.93281
n33 8.51701
n35 8.34148
n37 6.08809
n37 7.20877
n38 7.23436
n38 8.39881
n38 9.71933
n39 7.13125
n39 8.44342
n3 8.34946
n3 9.65375
n40 6.11229
n40 7.13146
n40 8.42703
n41 7.12125
n42 7.20332
n43 7.1321
n43 8.39023
n43 9.78504
n44 7.12794
n44 8.36717
n44 9.72291
n45 8.3456
n45 9.68717
n46 7.16842
n47 7.15686
n48 7.11629
n49 5.93371
n49 8.41673
n4 5.99755
n4 7.18932
n4 8.43359
n50 8.34033
n51 8.35945
n52 7.14661
n52 9.70038
n56 8.42554
n56 9.76099
n57 7.08106
n57 8.45097
n57 9.71423
n58 9.63494
n5 5.99119
n5 7.13182
n5 8.38304
n5 9.72556
n61 6.16025
n61 7.21331
n61 9.74467
n6 6.01452
n6 8.41694
n7 7.22035
n7 9.81992
n8 7.13577
