0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	18798	11568	27474	27474	24582	18798	18798	23136	20244	20244	24582	13014	18798	27474	18798	23136	18798	24582	20244	8676	18798	13014	18798	24582	8676	20244	18798	18798	18798	18798	26028	13014	13014	18798	13014	18798	18798	18798	13014	17352	18798	13014	14460	18798	13014	13014	13014	18798	18798	18798	13014	13014	15906	8676	18798	20244	8676	21690	18798	18798
2	112788	92544	133032	134478	124356	104112	107004	118572	115680	114234	120018	99774	111342	122910	114234	118572	112788	121464	115680	66516	112788	92544	105558	120018	41934	101220	88206	99774	88206	102666	111342	63624	66516	86760	60732	89652	86760	89652	65070	75192	85314	69408	75192	88206	60732	60732	65070	98328	79530	79530	60732	60732	73746	41934	86760	101220	41934	105558	102666	98328
3	216900	196656	104961	106607	99739	120289	119869	118446	212562	211116	218346	196656	202440	123000	120004	216900	118494	218346	117803	163398	119311	187980	203886	112113	27474	60732	49248	54225	46272	54605	61589	35427	38319	46272	28920	49164	47039	50610	38319	45774	46272	36150	46995	48441	33258	36150	40488	56578	43380	43380	1446	31812	42657	20244	49887	49582	19839	219792	53502	58598
4	62515	63491	62845	63594	60679	62442	61523	54434	61954	62152	336918	58773	59379	62251	63040	60766	63106	62020	63073	62677	61664	62218	61232	1446	29658	62890	51504	56208	50118	57657	64331	13014	40476	49313	30392	51304	49313	52963	4338	47937	47768	2892	48851	50774	2892	38052	43222	58685	46212	45478	2892	34081	44463	22395	52155	2892	21936	341256	27999	61453
5	65197	66122	65543	66222	63441	64966	63755	2892	64013	64717	456936	61419	61894	64877	65540	62834	65695	64589	65509	64906	1446	64813	63481	8676	31691	65209	53706	58544	52378	60585	66936	20445	42572	51486	32570	53513	51526	55180	15906	50089	50050	8676	51166	52924	8676	40275	45465	60892	48398	47696	10122	36378	46686	24696	54400	8676	24281	462720	31691	64169
6	67765	68685	68095	68782	66074	67303	66130	10122	66411	67124	578400	63881	64243	67310	67972	65250	68152	67000	67912	67338	5784	67217	65896	27550	33723	67322	55739	60653	54386	63351	69443	23392	44569	53534	34429	55517	53573	57232	20498	52072	52114	20853	53183	54994	18290	42232	47424	62956	50405	49650	15973	38376	48682	26641	56415	24835	26258	582738	35051	66810
7	70266	71126	70556	71220	68639	69498	68333	28147	68665	69325	699864	66159	66448	69595	70234	67514	70437	69235	70147	69592	21690	69505	68167	29798	35638	69277	57632	62592	56179	65957	71888	26402	46611	55390	36363	57488	55501	59146	22161	54094	53981	22855	55094	56908	19824	43961	49303	64921	52339	51607	17709	40120	50677	28308	58250	26849	28021	704202	38168	69321
8	72654	73484	72962	73575	71053	71535	70438	30145	70788	71455	819882	68331	68521	71745	72371	69644	72595	71368	72259	71742	31965	71629	70307	31886	37289	71119	59430	64472	58060	68466	74192	29101	48438	57221	38037	59325	57365	60931	23880	55821	55822	24442	57041	58691	21537	45896	50996	66733	54082	53301	19612	42036	52519	30431	60129	28428	29888	825666	41148	71712
9	74968	75795	75265	75883	73414	73543	72484	32146	72822	73466	941346	70407	70533	73830	74415	71734	74695	73438	74303	73799	33980	73662	72413	33907	39186	72973	61207	66298	59809	70886	76451	31698	50115	58995	39793	61037	59065	62763	25889	57604	57641	26169	58715	60523	23303	47493	52823	68467	55846	55058	21147	43726	54144	31897	61853	30201	31840	945684	43875	74022
10	77236	78014	77504	78099	75674	75474	74444	34212	74833	75454	1062810	72454	72520	75832	76396	73707	76720	75427	76288	75775	35939	75643	74401	35812	40640	74681	62866	68016	61509	73224	78620	34035	51897	60649	41426	62767	60819	64446	27222	59193	59299	27788	60513	62169	24944	49285	54440	70249	57484	56718	22851	45491	55944	33856	63595	31940	33369	1067148	46489	76287
11	79402	80172	79662	80257	77872	77391	76316	36044	76804	77398	1182828	74442	74396	77764	78359	75632	78645	77371	78255	77735	37850	77634	76355	37675	42436	76382	64546	69726	63060	75490	80740	36449	53545	62258	43092	64418	62456	66117	28853	60875	60978	29530	62027	63838	26637	50773	56047	71873	59181	58401	24608	46965	57544	35296	65131	33588	35067	1187166	48999	78462
12	81517	82257	81767	82364	80030	79187	78178	38060	78648	79220	1304292	76341	76242	79662	80231	77520	80564	79246	80101	79607	39773	79480	78242	39764	43969	78034	66090	71321	64702	77695	82790	38659	55103	63892	44558	65966	63988	67720	30669	62445	62512	30905	63700	65404	28230	52299	57644	73421	60693	59970	26005	48739	59064	36793	66781	35158	36855	1308630	51347	80588
13	83592	84305	83810	84407	82095	81010	80024	39712	80517	81092	1424310	78202	78081	81492	82064	79366	82439	81117	81914	81439	41606	81317	80088	41448	45361	79594	67634	72916	66241	79853	84792	40695	56690	65395	46018	67544	65581	69220	32061	63849	64106	32542	65300	66892	29806	53929	59197	75032	62202	61500	27634	50281	60682	38500	68303	36661	38181	1430094	53594	82638
14	85562	86273	85778	86375	84149	82735	81765	41498	82292	82842	1545774	80048	79823	83342	83879	81157	84239	82892	83711	83264	43313	83142	81901	43161	46797	81126	69104	74484	67720	81900	86760	42780	58269	66883	47524	69044	67131	70715	33455	65384	65571	33917	66790	68440	31169	55401	60675	76544	63710	62919	29029	51659	62224	40083	69800	38374	39671	1550112	55705	84646
15	87536	88195	87743	88316	86117	84452	83515	43257	84026	84578	1667238	81788	81521	85058	85607	82907	86015	84650	85439	84983	45184	84842	83651	44993	48276	82626	70603	75976	69190	83914	88662	44811	59739	68312	48978	70545	68582	72219	35031	66810	67059	35473	68192	69903	32602	56908	62053	78034	65150	64373	30427	53079	63635	41554	71250	39754	41208	1671576	57743	86614
16	89422	90104	89629	90202	88045	86108	85176	44947	85754	86258	1787256	83563	83221	86810	87327	84617	87741	86354	87166	86711	46715	86594	85379	46577	49713	84107	72024	77434	70599	85810	90571	46622	61100	69751	50351	71966	70012	73675	36424	68241	68512	36961	69572	71353	33974	58306	63437	79464	66582	65799	31828	54461	65075	42927	72624	41088	42691	1793040	59678	88522
17	91313	91944	91511	92059	89954	87761	86856	46533	87421	87927	1908720	85222	84846	88456	89006	86297	89420	88019	88799	88385	48454	88249	87035	48276	51107	85547	73427	41780	72020	87705	55883	21881	62465	64730	51727	73343	37510	63747	37821	69651	69944	21277	67069	72751	24916	43750	64813	80876	67960	67194	33234	31234	66479	44351	74024	39042	44167	62178	28992	42994
18	93139	93792	93337	93885	91822	89279	88409	48233	88985	89491	2030184	86854	86406	90043	90570	87850	91047	89583	90386	89926	50048	89813	88626	50043	52814	87200	75092	39162	73591	89614	46526	24230	30609	35004	53379	74957	34723	36522	39589	71335	71597	18517	35004	74403	17049	28925	66504	82476	69640	68883	34879	27656	68011	45728	75695	20460	45822	64362	31599	45611
19	94965	95592	95158	95681	93648	90843	89950	49755	90572	91049	2150202	88430	87931	91643	92147	89414	92609	91181	91949	91509	51512	91401	90213	51427	54355	88925	76712	40872	75304	91519	49286	26917	32326	36626	54944	76685	36472	38133	41079	72902	73267	20137	36795	76060	18796	30737	68185	84203	71208	70477	36449	29192	69808	47592	77450	22313	47377	66966	34429	48425
20	96712	97335	96922	97445	95476	92342	91488	51187	92105	92589	2271666	89971	89472	93183	93687	90998	94171	92699	93489	93049	53092	92919	91784	52892	56038	90604	78378	42511	76870	93345	52020	29638	33833	38232	56574	78274	37922	39833	42662	74554	74965	21826	38232	77724	20084	32319	69685	85787	72835	72072	37955	30650	71403	49255	78958	23848	49216	69472	37209	51205
21	98476	99099	98665	99188	97219	93816	92984	52775	93601	94107	2393130	91508	90987	94723	95219	92516	95702	94239	95007	94611	54626	94459	93302	54469	57599	92158	79938	44088	78400	95166	54728	32193	35451	39825	58050	79808	39528	41314	44374	76125	76477	23123	39877	79258	21684	33703	71252	87361	74459	73669	39716	32364	72828	50662	80540	25207	50665	71887	39949	53916
