0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
76	9.5089	7.69272	21.0885	4.53466	5.34442	19.0525	4.60406	2.71848
77	9.62458	7.60018	20.8224	4.78915	5.4601	19.8623	4.80072	3.23904
78	9.65928	7.64645	20.9381	4.6272	5.51794	19.9432	4.75445	3.62078
79	9.65928	7.64645	21.0885	4.67347	5.50637	19.8044	4.69661	3.7249
80	9.62458	7.70429	21.1	4.69661	5.55264	19.7234	4.6619	3.86371
81	9.65928	7.65802	21.1926	4.71974	5.58734	19.7119	4.6272	3.88685
82	9.64771	7.66958	21.2041	4.61563	5.57578	19.7119	4.63877	3.99096
83	9.63614	7.69272	21.1926	4.5925	5.57578	19.7813	4.58093	4.0488
84	9.64771	7.75056	21.1926	4.74288	5.58734	19.7466	4.48838	4.0835
85	9.60144	7.79683	21.1579	4.73131	5.57578	19.5152	4.60406	4.10664
86	9.60144	7.62331	21.3661	4.77758	5.58734	19.5268	4.60406	4.09507
87	9.62458	7.63488	21.3198	4.52309	5.59891	19.8623	4.49995	4.14134
88	9.60144	7.71586	21.2967	4.14134	5.56421	19.5152	4.0141	3.99096
89	9.58987	7.71586	21.1926	3.22747	2.84573	17.8379	2.07067	2.94984
90	9.63614	7.57704	21.2388	3.74803	5.4948	21.5396	3.5051	3.71333
91	9.64771	7.60018	21.1694	3.80587	5.57578	21.7131	3.52824	3.87528
92	9.63614	7.60018	21.2273	3.82901	5.57578	21.5975	3.57451	3.93312
93	9.63614	7.68115	21.2851	3.97939	5.57578	21.3777	3.58608	4.03723
94	8.91893	6.89453	21.1347	4.0488	5.56421	21.3777	3.53981	3.97939
95	8.58346	5.64518	18.451	4.03723	5.58734	21.5743	3.45883	4.09507
96	9.46262	7.12589	21.5165	4.11821	5.54107	21.1579	3.57451	4.15291
97	9.60144	7.18373	21.8172	4.19918	5.5295	21.2967	3.4704	4.15291
98	9.62458	7.21843	21.9329	4.31486	5.51794	20.9728	3.58608	4.17605
99	9.62458	7.20686	22.0717	3.90998	5.47166	21.4239	3.49354	4.19918
100	9.62458	7.17216	21.9792	4.32643	5.50637	20.9612	3.57451	4.21075
101	9.62458	7.17216	21.9098	4.26859	5.03208	20.9612	3.57451	4.21075
102	9.62458	7.1953	21.8982	2.35987	3.62078	14.1939	1.96656	4.69661
103	9.62458	7.40352	22.118	3.65549	4.99738	20.7414	2.91514	5.47166
104	9.61301	7.39195	22.118	3.96782	5.06678	21.181	3.30845	5.48323
105	9.61301	7.27627	22.118	3.86371	4.97424	21.4008	3.25061	5.44853
106	9.38165	7.1953	22.0486	3.87528	4.8817	21.4008	3.34315	5.37912
107	8.20171	3.67862	9.64771	3.96782	4.87013	21.8172	3.33158	5.30971
108	9.67085	6.75571	19.8044	4.02566	4.61563	21.8751	3.41256	5.18246
109	9.67085	7.43822	21.6553	4.00253	4.6272	21.4818	3.35472	5.14776
