Flow	 FCT 
0	2322.39
1	2313.11
2	2361.01
3	2404.25
4	2317.95
5	2763.89
6	2783.57
7	2602.7
8	2720.02
9	2826.04
10	2640.28
11	2725.29
12	2858.17
13	2603.28
14	2831.79
15	2625.28
16	2616.26
17	2682.38
18	2739.73
19	2905.23
20	2675.53
21	2701.61
22	2523.48
23	2704.73
24	2604.58
25	2807.09
26	2965.65
27	2769.76
28	2775.44
29	2317.47
30	2326.52
31	2354.61
32	2727.8
33	2567.64
34	2678.45
35	2670.54
36	2622.81
37	2556.11
38	2838.96
39	2612.96
40	2757.31
41	2662.88
42	2531.75
43	2538.76
44	2774.78
45	2878.93
46	2527.59
47	2666.74
48	2628.45
49	2727.94
50	2569.09
51	2788.64
52	2783.55
53	2645.28
54	2624.84
55	2834
56	2603.19
57	2294.45
58	2290.02
59	2302.83
