0	-nan	-nan	-nan	-nan	-nan	-nan
100	0.964656	0.385908	0.578747	0.533516	0.459712	0.763604
101	0.964656	0.386024	0.578747	0.534095	0.462489	0.763025
102	0.964656	0.385908	0.578631	0.531434	0.458556	0.763604
103	0.964656	0.386024	0.578631	0.534557	0.461563	0.763604
104	0.96454	0.385908	0.578631	0.531087	0.459481	0.763604
105	0.964656	0.385908	0.578747	0.535136	0.45925	0.764066
106	0.964656	0.386024	0.578747	0.532244	0.460406	0.764529
107	0.964771	0.386024	0.578631	0.532012	0.459365	0.764182
108	0.96454	0.385908	0.578631	0.533979	0.458787	0.764066
109	0.964656	0.385908	0.578747	0.53502	0.458324	0.76476
110	0.964771	0.385908	0.578863	0.532822	0.458671	0.765108
111	0.964887	0.386024	0.578747	0.532475	0.45925	0.764645
112	0.965118	0.38614	0.579094	0.542076	0.456705	0.765223
113	0.964424	0.385793	0.578747	0.559776	0.451962	0.766843
114	0.96454	0.385793	0.578747	0.560701	0.449185	0.767884
115	0.96454	0.385793	0.578631	0.559776	0.449764	0.767537
116	0.964424	0.385793	0.578747	0.558619	0.449764	0.768231
117	0.964656	0.385908	0.578631	0.557231	0.44988	0.768231
118	0.96454	0.385908	0.578631	0.557925	0.450458	0.768694
119	0.96454	0.385908	0.578747	0.559313	0.449648	0.768462
120	0.964656	0.385793	0.578631	0.55804	0.44907	0.769041
121	0.96454	0.385908	0.578863	0.556768	0.450921	0.769619
122	0.964771	0.385908	0.578747	0.55885	0.448491	0.769156
123	0.96454	0.385908	0.578747	0.556884	0.450342	0.769272
124	0.964656	0.385908	0.578747	0.558156	0.448954	0.769619
125	0.964656	0.385793	0.578747	0.556421	0.449417	0.770313
126	0.964656	0.385908	0.578747	0.556768	0.449764	0.769503
127	0.964656	0.385908	0.578747	0.557462	0.450458	0.770313
128	0.964771	0.385908	0.578863	0.556536	0.448954	0.770197
129	0.965118	0.386024	0.579094	0.557115	0.449417	0.77066
130	0.96535	0.386024	0.579325	0.555958	0.450111	0.77066
131	0.965581	0.386024	0.579441	0.566369	0.449532	0.770313
132	0.964424	0.385908	0.578631	0.545316	0.436345	0.7621
133	0.964309	0.385677	0.578631	0.549827	0.443864	0.768231
134	0.964309	0.385793	0.578516	0.548786	0.442707	0.767884
135	0.964193	0.385793	0.578516	0.548439	0.443054	0.767653
136	0.964424	0.385677	0.578631	0.548323	0.442592	0.767884
137	0.964193	0.385793	0.578516	0.548439	0.442707	0.768115
138	0.964424	0.385677	0.578631	0.54867	0.44236	0.768578
139	0.96454	0.385793	0.578747	0.548208	0.44317	0.768578
140	0.96454	0.385908	0.578747	0.549017	0.442245	0.768809
141	0.964656	0.385677	0.578863	0.547398	0.443286	0.768809
142	0.96454	0.385793	0.578631	0.548902	0.442129	0.769272
143	0.96454	0.386024	0.578747	0.54867	0.442592	0.768925
144	0.964771	0.385793	0.578747	0.547398	0.442823	0.769503
145	0.96454	0.385908	0.578863	0.548555	0.442823	0.769272
146	0.964771	0.385908	0.578747	0.548323	0.442245	0.769503
147	0.964656	0.385793	0.578747	0.546704	0.442707	0.769735
148	0.96454	0.386024	0.578747	0.548786	0.443054	0.769619
149	0.964656	0.385908	0.578747	0.548323	0.442013	0.769735
150	0.964656	0.385793	0.578747	0.547745	0.442592	0.769735
151	0.964887	0.385908	0.578863	0.547513	0.442013	0.769966
152	0.964656	0.385908	0.578863	0.548092	0.442707	0.769966
