Flow	 FCT 
0	2371.39
1	2323.8
2	2302.82
3	2315.48
4	2370.4
5	2635.58
6	2675.63
7	2750.22
8	2703
9	2665.4
10	2717.63
11	2879.12
12	2681.92
13	2852.22
14	2591.68
15	2681.93
16	2650.4
17	2656.18
18	2601.99
19	2695.22
20	2670.68
21	2788.99
22	2839.03
23	2668.28
24	2679.11
25	2718.8
26	2859.65
27	2674.21
28	2805.93
29	2338.21
30	2377.19
31	2327.99
32	2732.6
33	2643.24
34	2621.52
35	2642.12
36	2651.92
37	2671.41
38	2640.84
39	2590.01
40	2830.06
41	2636.54
42	2592.82
43	2649.8
44	2705.87
45	2581.81
46	2665.11
47	2692.7
48	2736.65
49	2773.24
50	2706.48
51	2685.52
52	2708.7
53	2514.35
54	2484.35
55	2711.1
56	2724.45
57	2340.46
58	2329.19
59	2365.02
