Flow	 FCT 
0	2411.62
1	2392.16
2	2333.6
3	2388.01
4	2316.53
5	2664.91
6	2777.52
7	2757.41
8	2694.59
9	2661.37
10	2718.18
11	2790.41
12	2604.08
13	2688.95
14	2685.06
15	2699.57
16	2817.32
17	2577.83
18	2666.44
19	2639.99
20	2732.21
21	2540.26
22	2846.17
23	2631.73
24	2869.42
25	2691.23
26	2678.81
27	2763.82
28	2759.57
29	2274.1
30	2383.92
31	2336.07
32	2840.67
33	2684.16
34	2679.84
35	2716.16
36	2623.59
37	2622.22
38	2718.07
39	2568.57
40	2757.93
41	2555.73
42	2779.08
43	2577.18
44	2661.76
45	2648.55
46	2628.83
47	2509.2
48	2715.55
49	2668.39
50	2686.14
51	2595.32
52	2644.73
53	2624.69
54	2614.65
55	2741.56
56	2737.31
57	2396.55
58	2361.4
59	2365.59
