Flow	 FCT 
0	2306.43
1	2309.28
2	2276.09
3	2299.38
4	2372.5
5	2749.18
6	2749.5
7	2595.12
8	2693.14
9	2671.61
10	2809.69
11	2609.39
12	2866.57
13	2660.44
14	2644.81
15	2676.51
16	2748.71
17	2668.32
18	2908.33
19	2839.93
20	2589.2
21	2690.99
22	2693.89
23	2775.99
24	2965.68
25	2793.17
26	3016.35
27	2634.51
28	3076.25
29	2283.96
30	2252.89
31	2325.15
32	2538.81
33	2650.88
34	2758.99
35	2639.26
36	2569.23
37	2521.41
38	2554.76
39	2681.16
40	2650.57
41	2691.23
42	2602.37
43	2681.34
44	2823.46
45	2822.11
46	2735.96
47	2562.11
48	2570.48
49	2779.37
50	2585.55
51	2706.75
52	2742.87
53	2852.28
54	2598.95
55	2673.45
56	2640.26
57	2265.8
58	2301.04
59	2350.98
