10 5.78222
10.15 5.71136
10.3 5.79413
10.45 5.95968
10.6 6.04245
10.75 6.04245
10.9 6.12523
11.05 6.04245
11.2 5.71136
11.35 4.9664
11.5 5.13195
11.65 5.29749
11.8 5.29749
11.95 5.87691
12.1 5.87691
12.25 5.79413
12.4 5.95968
12.55 5.95968
12.7 5.95968
12.85 5.87691
13 5.79413
13.15 4.80085
13.3 5.04917
13.45 5.62859
13.6 5.46304
13.75 5.71136
13.9 5.79413
14.05 5.79413
14.2 5.87691
14.35 5.79413
14.5 4.80085
14.65 4.30421
14.8 4.80085
14.95 4.80085
15.1 4.88363
15.25 4.80085
15.4 4.88363
15.55 4.88363
15.7 4.80085
15.85 4.80085
16 4.9664
16.15 5.29749
16.3 5.13195
16.45 5.29749
16.6 4.88363
16.75 3.89035
16.9 4.13867
17.05 4.88363
17.2 4.71808
17.35 4.71808
17.5 4.88363
17.65 5.21472
17.8 4.9664
17.95 5.21472
18.1 5.29749
18.25 5.21472
18.4 5.04917
18.55 5.79413
18.7 5.79413
18.85 5.29749
19 5.46304
19.15 5.46304
19.3 5.21472
19.45 5.46304
19.6 5.04917
19.75 5.21472
19.9 5.13195
