Flow	 FCT 
0	2365.81
1	2332.02
2	2314.86
3	2313.86
4	2327.7
5	2700.21
6	2734.68
7	2692.9
8	2589.6
9	2735.18
10	2646.4
11	2754.48
12	2912.35
13	2705.97
14	2770.55
15	2708.82
16	2579.7
17	2671.46
18	2769.78
19	2846.66
20	2544.2
21	2833.12
22	2669.11
23	2606.75
24	2860.11
25	2829.96
26	2821.34
27	2755.08
28	2901.52
29	2390.72
30	2299.77
31	2301.88
32	2521.64
33	2659.51
34	2784.18
35	2551.75
36	2585.38
37	2823.03
38	2757.87
39	2626.33
40	2606.3
41	2519.87
42	2639.09
43	2721.74
44	2777.3
45	2583.4
46	2816.07
47	2773.64
48	2610.11
49	2600.29
50	2714.32
51	2633.08
52	2610.88
53	2690.63
54	2768.63
55	2553.05
56	2671.27
57	2378.09
58	2276.85
59	2343.58
