0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.0519403	0.0167736	0.0281102	0.0297298	0.0214008	0.0421075
2	0.176759	0.0600379	0.0882638	0.0945106	0.0643181	0.136734
3	0.689106	0.228121	0.301578	0.328878	0.217825	0.478684
4	0.74845	0.251488	0.333158	0.354675	0.247902	0.527038
5	0.716059	0.224998	0.329341	0.3342	0.244663	0.498002
6	0.730866	0.240267	0.329457	0.336744	0.244316	0.513156
7	0.750995	0.260049	0.329804	0.345305	0.244663	0.533169
8	0.71363	0.275897	0.333621	0.353402	0.241424	0.542655
9	0.754696	0.286424	0.33605	0.360575	0.243159	0.564634
10	0.748681	0.275781	0.3342	0.36069	0.23483	0.556884
11	0.770891	0.279599	0.334662	0.364623	0.235293	0.561395
12	0.777254	0.288043	0.335703	0.368441	0.23726	0.571228
13	0.783732	0.290704	0.336629	0.371333	0.238879	0.575392
14	0.782807	0.290472	0.335588	0.369251	0.236103	0.57412
15	0.784079	0.290588	0.337207	0.37006	0.239226	0.576433
16	0.783269	0.290704	0.336629	0.369135	0.238879	0.575161
17	0.78165	0.290472	0.337554	0.370176	0.239458	0.575508
18	0.780956	0.290704	0.33767	0.369482	0.238879	0.57678
19	0.782228	0.290125	0.33767	0.369598	0.239573	0.57678
20	0.779915	0.290241	0.338133	0.368556	0.240383	0.576202
21	0.780146	0.290241	0.338017	0.369829	0.240267	0.576549
22	0.780956	0.290357	0.338711	0.369713	0.241077	0.577822
23	0.780493	0.290125	0.338942	0.369366	0.24154	0.57759
24	0.740468	0.290241	0.335356	0.365433	0.238532	0.574583
25	0.765455	0.29001	0.328184	0.354097	0.235872	0.573541
26	0.739774	0.28573	0.325871	0.354559	0.241193	0.565791
27	0.776675	0.288506	0.328994	0.35213	0.250794	0.57331
28	0.782228	0.289663	0.328647	0.353634	0.248481	0.575624
29	0.780956	0.290357	0.328531	0.353634	0.24929	0.576086
30	0.780724	0.290357	0.328878	0.355832	0.246745	0.576896
31	0.782459	0.290241	0.328647	0.354212	0.248943	0.575855
32	0.779915	0.290472	0.328763	0.354097	0.248596	0.576202
33	0.78084	0.290125	0.32911	0.353981	0.247902	0.575508
34	0.780377	0.290125	0.329341	0.356641	0.247902	0.577243
35	0.779915	0.290472	0.329572	0.357683	0.246861	0.576433
36	0.778989	0.290125	0.329572	0.3556	0.248249	0.576896
37	0.778989	0.289894	0.330266	0.356179	0.247671	0.57678
38	0.779221	0.29001	0.330498	0.357567	0.248596	0.577475
39	0.763257	0.2892	0.330266	0.3556	0.249522	0.575739
