0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
1	0.451152	0.485856	1.28405	0.46272	0.277632	1.72363	0.277632	0.277632
2	3.37786	3.1812	8.72227	2.83416	1.97813	10.712	1.94342	1.88558
3	8.86109	4.74288	16.7852	3.06552	4.45368	9.09245	2.86886	4.73131
4	9.67085	6.77885	21.9445	5.57578	5.79557	15.9407	4.90483	5.80714
5	9.68242	6.96394	22.4188	5.86498	5.8187	16.5769	4.99738	5.80714
6	9.5783	6.98707	22.28	5.7493	5.79557	16.5885	5.02051	5.80714
7	9.52046	6.9061	22.2106	5.63362	5.784	16.6926	5.00894	5.79557
8	9.5436	6.9408	22.1412	5.56421	5.7493	16.5885	5.05522	5.79557
9	9.5089	7.02178	22.199	5.63362	5.69146	16.6001	5.03208	5.69146
10	9.53203	6.91766	22.1527	5.51794	5.70302	16.6579	5.05522	5.69146
11	9.56674	6.9408	22.118	5.56421	5.70302	16.6695	5.03208	5.69146
12	9.5436	6.9755	22.1527	5.50637	5.70302	16.5654	5.05522	5.72616
13	9.55517	6.9755	22.0949	5.47166	5.71459	16.762	5.05522	5.71459
14	9.55517	6.89453	22.1643	4.39584	4.25702	11.8456	1.96656	3.30845
15	9.61301	7.01021	21.5512	5.84184	5.28658	17.1785	3.94469	4.18762
16	9.65928	7.16059	21.8751	5.784	5.4601	17.9998	4.41898	5.06678
17	9.55517	7.11432	21.9792	5.84184	5.41382	18.0808	4.39584	5.02051
18	9.5783	7.1953	21.8404	5.784	5.39069	18.1386	4.3727	4.99738
19	9.56674	7.09118	22.0139	5.77243	5.37912	18.1733	4.34957	4.97424
20	9.58987	7.17216	21.8982	5.86498	5.41382	18.1849	4.39584	4.85856
21	9.56674	7.21843	21.8751	5.76086	5.30971	18.3816	4.32643	4.9164
22	9.5783	7.07962	21.9561	5.85341	5.35598	18.5088	4.22232	4.83542
23	9.58987	7.10275	21.9445	5.784	5.30971	18.3353	4.40741	4.81229
24	8.87266	6.92923	18.7402	5.77243	5.29814	18.5088	4.31486	4.78915
25	8.25955	6.29299	12.667	4.40741	3.71333	17.0165	3.81744	3.03082
26	9.5436	7.21843	12.5166	4.51152	3.44726	14.5525	4.8817	3.64392
27	9.68242	8.62973	17.8379	5.50637	5.05522	18.2312	5.41382	4.49995
28	9.67085	8.29426	19.4111	5.07835	4.97424	18.2543	5.39069	4.46525
29	9.64771	8.39837	19.7928	3.99096	5.03208	18.8674	5.55264	4.52309
30	9.68242	8.58346	16.924	4.32643	5.02051	18.4972	5.42539	4.54622
31	9.67085	8.74541	18.9484	4.53466	5.06678	18.6708	5.63362	4.60406
32	9.65928	8.79168	20.1283	4.44211	5.12462	18.4047	5.1709	4.52309
33	9.68242	8.94206	18.5204	4.80072	5.1709	17.7453	4.54622	4.74288
34	9.65928	9.03461	19.9779	4.9511	5.29814	18.717	4.84699	4.80072
35	9.67085	9.01147	20.163	4.97424	5.28658	18.7402	4.85856	4.75445
36	9.67085	8.98834	20.2093	4.96267	5.12462	18.8905	4.84699	4.71974
37	9.68242	8.16701	19.6078	5.04365	5.19403	18.8096	4.85856	4.68504
38	9.64771	8.39837	19.6078	4.87013	5.06678	19.0294	4.80072	4.71974
39	9.67085	8.65286	19.654	5.02051	5.06678	18.9368	4.9511	4.61563
40	9.67085	8.80325	19.9548	4.9511	5.10149	18.3353	4.00253	4.65034
41	9.67085	8.94206	20.2556	5.39069	5.29814	17.3751	3.78274	4.89326
42	9.65928	8.88422	20.2787	5.61048	5.30971	18.8096	3.93312	4.9164
43	9.64771	8.87266	20.2556	5.34442	5.32128	18.9252	4.17605	4.8817
44	9.63614	8.79168	20.3481	5.54107	5.29814	18.8096	3.99096	4.87013
45	9.65928	8.45621	18.96	3.49354	1.97813	14.5294	1.43443	2.78789
46	9.64771	7.4845	13.9973	3.63235	4.6619	17.0281	2.91514	4.70818
47	9.68242	9.47419	19.5036	4.5925	5.04365	20.4291	3.59765	5.04365
48	9.67085	9.46262	19.735	4.56936	4.9164	20.6489	3.52824	5.00894
49	9.65928	9.39322	19.7813	4.61563	4.80072	20.3597	3.55138	4.93954
50	9.67085	9.45106	19.2492	4.84699	4.92797	19.0409	3.78274	5.02051
51	9.67085	9.41635	19.6656	4.9164	4.92797	19.816	3.89842	5.03208
52	9.67085	9.40478	19.7466	4.92797	4.84699	20.0589	3.7943	4.98581
53	9.65928	9.33538	19.5499	5.02051	4.76602	19.6193	3.7249	4.96267
54	9.68242	9.45106	19.5152	5.22874	4.92797	18.3931	3.62078	5.07835
55	9.64771	9.38165	19.6887	5.33285	4.97424	19.3764	3.81744	5.06678
56	9.65928	9.39322	19.6772	5.33285	4.9164	19.5846	3.73646	5.05522
57	9.64771	9.34694	19.735	5.48323	4.85856	19.3995	3.74803	5.03208
58	9.65928	9.30067	19.735	5.2403	4.78915	19.6887	3.90998	4.98581
59	9.62458	9.31224	19.735	5.41382	4.77758	19.5962	3.81744	4.97424
60	9.65928	9.37008	19.0178	5.34442	4.69661	18.4278	3.86371	4.92797
61	9.67085	9.39322	19.654	5.5295	4.89326	19.1682	3.95626	5.03208
62	9.65928	9.38165	19.6309	5.61048	4.76602	19.1103	4.0835	5.00894
63	9.63614	9.35851	19.6887	5.58734	4.77758	19.2492	3.99096	4.97424
64	9.64771	9.17342	19.4921	5.43696	4.76602	18.8558	3.99096	4.93954
