4	0.772	0.289	0.337	0.365	0.258	0.578	
9	0.772	0.289	0.335	0.377	0.239	0.578	
14	0.771	0.289	0.337	0.387	0.248	0.578	
19	0.771	0.289	0.342	0.389	0.247	0.578	
24	0.77	0.289	0.333	0.372	0.245	0.578	
29	0.773	0.289	0.338	0.377	0.244	0.578	
34	0.772	0.29	0.337	0.381	0.246	0.578	
39	0.773	0.29	0.337	0.376	0.243	0.578	
44	0.772	0.289	0.337	0.378	0.239	0.577	
49	0.771	0.289	0.342	0.393	0.246	0.578	
54	0.772	0.289	0.337	0.366	0.238	0.578	
59	0.771	0.289	0.34	0.382	0.245	0.578	
64	0.772	0.289	0.341	0.38	0.244	0.578	
69	0.772	0.29	0.332	0.364	0.246	0.578	
74	0.772	0.29	0.341	0.393	0.246	0.578	
79	0.771	0.289	0.338	0.382	0.237	0.578	
84	0.772	0.289	0.342	0.376	0.237	0.579	
89	0.772	0.29	0.338	0.38	0.24	0.578	
94	0.771	0.289	0.338	0.366	0.241	0.578	
99	0.77	0.289	0.334	0.377	0.244	0.579	
104	0.771	0.289	0.341	0.377	0.243	0.578	
109	0.772	0.289	0.337	0.383	0.249	0.578	
114	0.771	0.29	0.334	0.375	0.239	0.578	
119	0.773	0.29	0.336	0.377	0.254	0.578	
124	0.773	0.289	0.342	0.383	0.243	0.578	
129	0.773	0.289	0.334	0.37	0.243	0.578	
134	0.773	0.289	0.336	0.372	0.247	0.578	
139	0.772	0.289	0.343	0.382	0.257	0.578	
144	0.771	0.29	0.334	0.371	0.229	0.577	
149	0.773	0.289	0.338	0.384	0.241	0.578	
154	0.773	0.289	0.339	0.379	0.245	0.578	
159	0.77	0.289	0.341	0.389	0.249	0.578	
164	0.771	0.289	0.333	0.365	0.247	0.578	
169	0.771	0.29	0.336	0.368	0.246	0.578	
174	0.772	0.289	0.337	0.38	0.245	0.577	
179	0.772	0.29	0.335	0.358	0.225	0.577	
184	0.772	0.289	0.337	0.378	0.244	0.578	
189	0.771	0.29	0.336	0.369	0.23	0.575	
194	0.772	0.291	0.338	0.379	0.237	0.575	
199	0.772	0.289	0.334	0.383	0.236	0.576	
204	0.77	0.286	0.34	0.36	0.251	0.575	
209	0.769	0.288	0.34	0.386	0.25	0.577	
214	0.769	0.287	0.341	0.382	0.248	0.577	
219	0.773	0.289	0.336	0.377	0.244	0.577	
224	0.771	0.286	0.345	0.391	0.248	0.577	
229	0.772	0.289	0.338	0.378	0.24	0.578	
234	0.77	0.289	0.333	0.363	0.246	0.577	
239	0.769	0.285	0.341	0.395	0.245	0.575	
244	0.768	0.289	0.334	0.366	0.243	0.578	
249	0.77	0.288	0.34	0.366	0.257	0.577	
254	0.772	0.289	0.337	0.369	0.234	0.577	
259	0.773	0.29	0.337	0.371	0.244	0.575	
264	0.76	0.281	0.337	0.369	0.245	0.569	
269	0.768	0.287	0.338	0.38	0.243	0.575	
274	0.771	0.288	0.338	0.378	0.233	0.577	
279	0.772	0.289	0.339	0.395	0.227	0.577	
284	0.77	0.288	0.329	0.355	0.246	0.576	
289	0.759	0.282	0.333	0.372	0.243	0.567	
294	0.761	0.279	0.336	0.379	0.23	0.567	
