4	9.318	6.649	21.981	4.593	4.804	19.233	4.131	4.741	
9	9.401	7.204	21.053	5.076	4.167	19.11	3.818	5.282	
14	9.485	7.784	20.613	4.549	4.383	19.364	4.26	4.992	
19	9.49	7.619	20.901	4.516	4.513	19.518	4.083	4.907	
24	9.416	6.902	21.514	4.968	4.704	19.033	4.378	4.588	
29	9.502	7.758	20.794	4.741	4.789	19.268	4.15	4.604	
34	9.12	8.422	20.335	5.166	4.584	18.779	3.665	5.196	
39	9.407	8.079	20.378	4.855	4.524	20.203	3.076	4.973	
44	9.592	7.409	21.13	4.406	4.676	19.452	4.397	4.69	
49	9.586	7.451	20.939	5.081	4.811	19.465	3.562	4.609	
54	9.406	8.196	20.07	4.407	4.415	19.773	4.141	4.992	
59	9.579	7.292	21.258	3.702	4.526	20.571	3.824	4.914	
64	9.471	7.638	20.809	4.679	4.679	20.35	3.131	4.749	
69	9.494	8.786	20.031	4.028	4.407	19.594	4.386	5.109	
74	9.53	7.607	20.886	4.999	4.615	19.578	3.587	4.89	
79	9.672	8.412	20.107	4.234	4.657	20.85	3.099	4.664	
84	9.48	6.689	21.808	4.894	5.227	19.735	3.715	4.141	
89	9.509	7.045	21.533	5.383	4.642	19.431	3.488	4.68	
94	9.387	6.296	22.302	3.455	5.15	19.783	5.05	4.415	
99	9.486	8.204	20.346	5.261	4.901	19.296	3.603	4.644	
104	9.623	8.57	20.052	5.097	4.93	19.777	3.34	4.423	
109	9.466	8.125	20.278	4.811	5.078	19.489	3.839	4.487	
114	9.591	7.587	21.199	4.832	4.713	18.823	4.687	4.754	
119	9.647	8.845	20.036	4.446	4.475	19.937	3.905	4.958	
124	9.556	7.328	21.356	5.623	5.411	18.136	4.647	4.16	
129	9.356	7.69	21.21	4.573	4.937	19.856	3.786	4.643	
134	9.438	6.941	21.832	4.9	5.061	19.218	4.134	4.588	
139	9.545	8.158	20.728	5.039	4.469	19.748	3.53	5.045	
144	9.577	7.94	20.697	4.673	4.719	20.496	2.963	4.746	
149	9.506	7.173	21.691	4.762	4.482	18.883	4.765	5.018	
154	9.508	8.108	20.893	5.198	4.484	19.639	3.482	5.089	
159	9.138	8.192	21.055	5.439	4.596	18.579	4.007	5.341	
164	9.654	7.407	21.471	4.739	4.934	19.832	3.827	4.503	
169	9.538	7.458	21.129	4.271	4.295	19.618	4.419	5.286	
174	9.494	7.774	20.802	3.667	4.406	20.444	4.276	4.999	
179	9.458	7.469	21.293	4.636	5.436	20.54	3.074	4.065	
184	9.259	6.993	21.906	5.367	5.266	19.398	3.404	4.47	
189	9.664	6.823	21.997	4.101	5.042	19.965	4.316	4.413	
194	9.669	7.894	20.601	4.411	4.752	19.112	4.602	4.651	
199	9.675	8.497	20.119	3.885	4.283	20.802	3.519	5.182	
204	9.676	7.113	21.511	4.489	4.856	20.206	3.686	4.7	
209	9.556	7.604	21.27	4.169	4.72	20.488	3.466	4.839	
214	9.452	6.916	21.996	5.206	5.096	19.314	3.802	4.433	
219	9.492	7.568	20.906	5.595	4.697	18.806	3.966	4.81	
224	9.675	7.708	21.224	4.844	4.381	20.454	3.036	4.979	
229	9.676	7.526	20.914	4.355	4.527	20.361	3.613	4.859	
234	9.676	7.209	21.775	4.332	4.788	20.029	4.191	4.65	
239	9.676	7.356	20.914	4.751	5.054	19.896	3.742	4.366	
244	9.675	8.679	19.912	4.101	4.735	20.195	4.171	4.639	
249	9.671	7.448	21.352	4.958	4.223	20.398	2.87	5.107	
254	9.567	6.889	21.754	4.44	4.885	19.304	4.27	4.781	
259	9.675	7.654	20.858	4.581	4.784	20.507	3.352	4.58	
264	9.676	7.801	20.897	4.494	4.715	19.72	4.011	4.837	
269	9.676	8.396	20.278	4.655	4.768	20.657	3.14	4.629	
274	9.638	7.716	20.602	4.156	5.22	19.311	5.107	4.049	
279	9.668	7.593	21.429	4.877	4.657	20.065	3.615	4.9	
284	9.675	7.435	20.837	5.131	4.282	19.814	3.515	5.03	
289	9.676	8.389	19.876	5.405	4.984	19.631	3.41	4.314	
294	9.676	6.864	21.847	3.957	4.049	20.572	4.026	5.469	
