4	1.38	528.82	606.22	806.12	
9	1.0	544.06	614.2	656.8	
14	1.06	534.02	633.38	705.34	
19	1.04	587.8	608.78	618.68	
24	1.16	566.36	577.2	709.7	
29	0.72	501.24	601.08	687.62	
34	1.32	441.78	534.88	641.84	
39	0.98	429.04	478.26	793.5	
44	0.8	521.22	568.42	765.06	
49	0.72	482.36	554.46	661.6	
54	0.78	428.62	568.12	614.34	
59	0.96	442.82	477.88	817.54	
64	1.04	531.12	489.88	577.64	
69	1.12	450.74	468.56	720.88	
74	0.86	407.9	623.64	863.12	
79	0.8	391.24	496.04	847.06	
84	0.82	508.48	503.08	837.38	
89	1.34	502.92	620.3	648.66	
94	0.94	395.34	561.46	856.78	
99	1.34	533.82	553.9	988.32	
104	1.16	590.52	509.1	817.88	
109	1.0	557.82	555.2	699.08	
114	1.02	471.68	566.8	608.74	
119	1.3	503.58	466.8	987.3	
124	0.9	402.66	538.34	1035.48	
129	0.82	538.04	545.66	912.78	
134	0.94	588.52	521.64	676.5	
139	1.08	544.52	478.4	851.12	
144	0.94	486.52	430.64	647.22	
149	1.12	489.98	465.12	828.96	
154	1.22	452.98	538.02	983.74	
159	0.94	652.16	448.24	948.18	
164	1.4	526.94	550.36	897.64	
169	1.1	426.96	530.66	426.38	
174	0.66	451.26	477.68	595.32	
179	0.96	410.98	456.72	896.36	
184	1.12	477.96	487.18	774.96	
189	0.98	585.32	506.52	722.56	
194	1.3	404.96	440.14	697.96	
199	1.16	413.06	506.38	787.32	
204	1.8	335.92	455.5	873.16	
209	0.82	507.9	425.08	867.88	
214	1.1	418.82	538.04	787.14	
219	0.66	374.3	444.7	665.38	
224	1.04	561.68	473.88	960.94	
229	1.2	361.52	450.44	594.94	
234	0.88	333.9	507.26	897.46	
239	1.04	308.78	391.36	661.22	
244	1.08	152.38	481.38	560.88	
249	1.02	563.12	505.02	920.8	
254	1.1	334.48	460.44	747.58	
259	0.9	324.24	505.02	637.22	
264	1.02	245.98	443.82	865.28	
269	0.72	324.68	452.1	771.86	
274	0.92	137.7	487.24	651.7	
279	0.52	511.62	496.8	829.06	
284	0.58	349.32	390.2	689.8	
289	1.38	165.94	447.7	731.08	
294	1.32	237.5	579.42	757.66	
