4	0.626	0.814	1.687	0.724	0.686	1.676	1.332	0.643	
9	0.013	0.856	1.407	0.793	0.553	1.576	0.589	0.575	
14	0.368	0.658	1.285	0.622	0.627	1.642	0.658	0.489	
19	0.411	0.831	1.356	0.772	0.493	1.904	1.104	0.547	
24	0.216	0.792	1.279	0.825	0.387	1.78	0.902	0.498	
29	0.015	0.627	1.51	0.983	0.586	1.623	0.696	0.546	
34	0.319	0.704	1.316	1.0	0.493	1.527	0.718	0.484	
39	0.472	0.696	1.178	0.719	0.425	1.587	0.665	0.52	
44	0.011	0.91	1.373	0.632	0.452	1.258	0.607	0.576	
49	0.011	0.837	0.948	0.78	0.489	1.65	0.58	0.479	
54	0.458	0.914	1.311	0.835	0.484	1.449	0.473	0.609	
59	0.862	0.655	1.544	0.834	0.387	1.565	1.008	0.564	
64	0.294	0.676	1.629	0.633	0.586	1.603	0.431	0.637	
69	0.019	0.869	1.554	0.514	0.432	1.115	0.658	0.357	
74	0.009	0.713	1.619	0.728	0.551	1.673	0.669	0.511	
79	0.579	0.939	1.708	0.631	0.531	1.623	0.568	0.533	
84	0.409	0.74	1.526	0.648	0.812	1.238	0.707	0.637	
89	0.01	0.569	2.149	0.536	0.422	1.476	0.492	0.575	
94	0.328	1.267	1.56	0.617	0.497	1.865	0.556	0.728	
99	0.53	1.024	1.261	0.725	0.527	1.611	0.724	0.384	
104	0.011	0.603	1.306	0.7	0.607	1.932	0.758	0.573	
109	0.64	1.181	1.79	0.458	0.624	1.695	0.496	0.428	
114	0.522	1.053	2.539	0.833	0.601	1.955	0.591	0.617	
119	0.405	0.713	1.347	0.893	0.58	1.492	0.567	0.484	
124	0.018	0.622	1.385	0.63	0.584	1.757	0.55	0.661	
129	0.011	0.673	1.357	0.573	0.562	1.255	0.712	0.375	
134	0.014	0.659	1.6	0.843	0.471	1.717	0.462	0.496	
139	0.612	0.813	1.886	1.09	0.542	1.754	0.557	0.46	
144	0.395	0.8	1.684	0.711	0.489	1.358	0.556	0.467	
149	0.016	0.525	1.583	0.609	0.475	1.408	0.903	0.394	
154	0.012	0.655	1.229	0.547	0.477	1.398	0.969	0.319	
159	0.012	0.699	1.27	0.8	0.449	1.52	0.462	0.472	
164	0.012	0.663	2.01	0.971	0.605	1.535	0.479	0.775	
169	0.008	0.693	1.048	0.678	0.609	1.383	0.601	0.737	
174	0.011	1.057	1.842	1.061	0.487	1.801	0.542	0.485	
179	0.015	0.699	1.581	0.625	0.37	1.184	0.514	0.238	
184	0.012	0.79	1.958	0.494	0.476	1.835	0.771	0.603	
189	0.602	0.691	1.605	0.441	0.818	1.78	0.364	0.676	
194	0.01	0.766	2.033	0.833	0.416	1.492	0.49	0.536	
199	0.01	0.674	0.785	0.767	0.256	1.819	0.477	0.398	
204	0.011	0.639	0.857	0.563	0.427	1.469	0.502	0.441	
209	0.009	0.946	1.301	0.467	0.358	1.757	0.401	0.485	
214	0.018	0.799	2.169	0.658	0.782	1.733	0.546	0.594	
219	0.014	0.582	1.791	0.631	0.404	1.664	0.65	0.422	
224	0.01	0.825	1.569	0.547	0.481	1.705	0.473	0.942	
229	0.008	0.687	0.977	1.194	0.611	1.958	0.635	0.267	
234	0.23	1.558	1.351	0.907	0.544	1.692	0.459	0.394	
239	0.01	0.832	1.757	0.535	0.538	1.64	0.516	0.659	
244	0.012	0.79	1.648	0.767	0.374	1.934	0.574	0.643	
249	0.011	0.762	1.793	0.624	0.585	1.207	0.545	0.41	
254	0.013	1.051	2.429	0.671	0.395	1.355	0.491	0.387	
259	0.011	1.41	2.387	0.892	0.558	1.636	0.433	0.586	
264	0.012	0.684	1.592	0.83	0.44	1.147	0.52	0.392	
269	0.012	1.151	2.528	0.615	0.6	1.727	0.395	0.739	
274	0.014	0.963	1.651	0.535	0.584	1.978	0.518	0.601	
279	0.017	0.734	1.796	0.489	0.441	1.686	0.398	0.591	
284	0.024	0.619	0.979	0.652	0.642	0.978	0.403	0.334	
289	0.027	0.709	1.795	0.567	0.353	1.618	0.715	0.481	
294	0.009	0.492	1.368	0.424	0.483	1.295	0.589	0.259	
