4	0.015	0.003	0.003	0.011	0.007	0.003	
9	0.021	0.003	0.004	0.012	0.005	0.003	
14	0.02	0.002	0.003	0.007	0.007	0.003	
19	0.016	0.002	0.004	0.008	0.007	0.003	
24	0.016	0.001	0.003	0.01	0.005	0.003	
29	0.016	0.002	0.003	0.008	0.005	0.002	
34	0.016	0.003	0.003	0.013	0.004	0.003	
39	0.018	0.002	0.003	0.009	0.008	0.003	
44	0.017	0.002	0.004	0.004	0.005	0.002	
49	0.015	0.003	0.004	0.006	0.005	0.003	
54	0.016	0.002	0.005	0.007	0.005	0.002	
59	0.018	0.002	0.004	0.005	0.008	0.002	
64	0.017	0.002	0.002	0.004	0.007	0.003	
69	0.016	0.002	0.003	0.006	0.003	0.002	
74	0.018	0.002	0.002	0.004	0.007	0.003	
79	0.023	0.002	0.003	0.008	0.007	0.001	
84	0.014	0.001	0.003	0.004	0.004	0.002	
89	0.016	0.001	0.002	0.009	0.006	0.002	
94	0.015	0.001	0.005	0.007	0.006	0.004	
99	0.015	0.001	0.004	0.006	0.005	0.002	
104	0.014	0.001	0.004	0.009	0.004	0.001	
109	0.018	0.002	0.002	0.01	0.004	0.002	
114	0.013	0.002	0.003	0.004	0.008	0.002	
119	0.013	0.001	0.003	0.005	0.007	0.001	
124	0.012	0.001	0.005	0.01	0.004	0.002	
129	0.015	0.002	0.003	0.012	0.004	0.001	
134	0.013	0.001	0.003	0.01	0.007	0.002	
139	0.012	0.001	0.001	0.004	0.012	0.001	
144	0.022	0.002	0.004	0.007	0.008	0.002	
149	0.013	0.001	0.002	0.003	0.009	0.002	
154	0.012	0.002	0.004	0.004	0.005	0.001	
159	0.013	0.003	0.003	0.006	0.004	0.001	
164	0.01	0.001	0.004	0.004	0.003	0.001	
169	0.015	0.001	0.002	0.007	0.003	0.002	
174	0.014	0.002	0.002	0.004	0.006	0.003	
179	0.015	0.002	0.003	0.005	0.005	0.001	
184	0.013	0.002	0.005	0.004	0.005	0.002	
189	0.012	0.001	0.002	0.007	0.003	0.001	
194	0.022	0.005	0.004	0.005	0.006	0.002	
199	0.017	0.002	0.003	0.007	0.005	0.002	
204	0.015	0.004	0.002	0.003	0.006	0.002	
209	0.013	0.001	0.002	0.002	0.003	0.001	
214	0.011	0.002	0.003	0.007	0.008	0.001	
219	0.017	0.003	0.002	0.002	0.003	0.001	
224	0.012	0.0	0.002	0.007	0.004	0.001	
229	0.019	0.006	0.006	0.011	0.005	0.002	
234	0.011	0.0	0.002	0.01	0.003	0.001	
239	0.029	0.009	0.003	0.006	0.004	0.002	
244	0.016	0.008	0.003	0.009	0.006	0.002	
249	0.015	0.001	0.004	0.005	0.007	0.001	
254	0.018	0.003	0.004	0.007	0.004	0.002	
259	0.019	0.005	0.005	0.006	0.005	0.002	
264	0.013	0.001	0.003	0.003	0.004	0.001	
269	0.011	0.001	0.004	0.004	0.004	0.001	
274	0.017	0.009	0.004	0.009	0.006	0.002	
279	0.008	0.0	0.005	0.007	0.003	0.001	
284	0.021	0.01	0.004	0.005	0.007	0.002	
289	0.013	0.007	0.003	0.011	0.006	0.002	
294	0.013	0.003	0.004	0.01	0.004	0.001	
