4	9.577	8.14	19.732	3.613	4.71	20.037	3.907	4.767	
9	9.675	8.397	19.637	3.478	4.885	19.989	4.106	4.606	
14	9.594	8.56	19.646	4.121	4.574	19.768	3.66	4.973	
19	9.598	8.034	19.916	4.937	4.919	19.225	3.383	4.575	
24	9.642	8.188	20.066	4.093	4.53	20.801	2.844	5.014	
29	9.675	8.474	19.485	4.391	4.373	19.614	3.5	5.125	
34	9.598	7.457	20.621	3.763	5.033	20.66	3.15	4.512	
39	9.579	8.074	20.034	3.82	4.962	19.251	4.53	4.546	
44	9.669	8.703	19.42	3.804	4.51	20.682	3.25	5.031	
49	9.675	7.348	20.709	4.058	5.123	20.14	3.557	4.4	
54	9.549	7.421	20.866	3.617	4.534	20.874	3.281	4.997	
59	9.172	6.475	21.938	4.372	5.104	19.422	3.5	4.766	
64	9.608	7.588	20.586	3.885	4.73	19.472	4.294	4.819	
69	9.664	8.151	19.795	4.455	4.745	19.652	3.758	4.796	
74	9.676	8.024	20.134	3.88	5.007	19.84	4.006	4.545	
79	9.546	8.05	19.994	3.887	4.845	20.859	3.047	4.723	
84	9.598	7.45	20.704	3.526	4.992	20.39	3.979	4.643	
89	9.676	7.835	20.148	3.301	4.878	21.09	3.339	4.634	
94	9.593	6.955	21.357	4.115	5.02	19.7	3.804	4.628	
99	9.534	7.401	20.723	3.875	4.993	20.172	3.656	4.691	
104	9.675	8.544	19.651	4.334	5.019	19.947	3.455	4.591	
109	9.551	7.461	20.454	4.372	4.651	19.876	3.506	4.896	
114	9.548	7.111	20.783	3.496	4.456	19.918	4.277	4.988	
119	9.581	8.323	19.88	4.653	5.314	19.441	3.649	4.272	
124	9.676	7.99	20.29	3.639	4.883	20.114	4.065	4.757	
129	9.676	7.573	20.643	3.938	4.939	20.43	3.609	4.644	
134	9.676	8.291	19.841	3.502	4.475	20.065	4.232	5.076	
139	9.542	8.219	19.988	4.867	4.703	19.374	3.456	5.021	
144	9.58	8.267	19.862	4.777	4.877	19.28	3.714	4.836	
149	9.669	6.784	21.361	4.273	4.946	20.147	3.416	4.727	
154	9.676	6.888	21.358	2.688	4.124	20.932	4.164	5.553	
159	9.676	7.905	20.382	4.0	5.081	19.976	3.838	4.534	
164	9.676	8.947	19.042	4.231	4.733	20.271	3.43	4.787	
169	9.676	7.535	20.837	4.012	5.102	20.037	3.751	4.553	
174	9.674	7.615	20.322	3.999	4.87	20.045	3.711	4.729	
179	9.673	8.083	20.047	3.896	4.773	21.172	2.967	4.856	
184	9.676	7.42	20.75	4.699	4.95	20.137	2.814	4.768	
189	9.534	7.708	20.568	4.968	5.179	19.54	2.801	4.89	
194	9.676	7.423	20.582	3.95	4.987	19.763	4.171	4.6	
199	9.676	7.543	20.88	3.679	5.295	19.852	4.438	4.412	
204	9.676	7.245	21.155	4.669	4.652	18.899	4.182	5.038	
209	9.676	7.662	20.46	2.823	4.906	21.533	3.3	4.853	
214	9.673	7.219	21.099	4.039	5.096	19.936	3.981	4.577	
219	9.676	7.744	20.508	4.615	5.071	19.87	3.405	4.593	
224	9.673	7.275	20.957	4.14	4.483	19.337	4.317	5.191	
229	9.676	8.781	19.682	3.517	4.737	20.534	3.988	4.959	
234	9.614	7.118	20.943	4.031	4.468	19.049	4.605	5.407	
239	9.676	6.931	21.334	3.602	5.172	19.611	4.623	4.58	
244	9.676	8.079	19.676	3.525	4.911	20.436	3.981	4.646	
249	9.676	6.869	20.718	3.643	4.767	21.361	3.274	4.767	
254	9.674	7.695	19.854	4.074	5.175	19.799	4.126	4.519	
259	9.676	7.631	19.738	5.044	4.772	19.504	3.427	4.828	
264	9.675	8.179	20.103	4.108	5.029	20.258	3.594	4.843	
269	9.676	7.64	19.421	4.561	4.259	19.261	4.041	5.303	
274	9.675	7.814	20.543	4.058	5.036	20.407	2.945	4.958	
279	9.676	8.745	18.995	5.201	4.901	19.782	3.042	4.793	
284	9.669	7.752	20.711	4.475	4.34	18.603	5.044	5.476	
289	9.666	8.429	19.856	4.04	4.564	19.222	4.424	5.467	
294	9.676	8.123	20.029	4.016	4.935	20.421	3.473	5.041	
