4	0.86	502.06	535.3	5.66	
9	0.9	430.84	614.46	5.8	
14	1.2	527.76	556.5	5.44	
19	1.0	444.48	605.44	4.76	
24	0.46	518.9	539.9	5.32	
29	0.86	381.9	549.06	6.04	
34	1.06	506.7	506.74	5.88	
39	0.72	462.32	583.06	5.2	
44	0.66	416.82	482.62	4.76	
49	1.16	363.88	561.24	5.22	
54	0.9	588.38	622.44	5.9	
59	0.82	530.52	545.2	4.8	
64	1.14	493.84	515.32	5.62	
69	1.04	300.04	536.6	6.64	
74	1.08	377.32	489.4	4.26	
79	1.28	309.8	513.74	4.64	
84	1.08	372.26	559.9	5.32	
89	0.92	376.68	563.5	4.16	
94	1.42	466.1	507.2	3.84	
99	1.06	383.82	570.24	4.78	
104	0.6	341.3	553.66	4.06	
109	1.04	322.68	481.14	5.3	
114	1.06	373.76	417.72	5.48	
119	1.02	482.06	476.48	4.12	
124	1.06	341.84	476.4	4.98	
129	1.2	324.44	485.38	5.94	
134	0.68	237.22	481.64	5.86	
139	0.86	389.2	491.98	4.7	
144	0.72	403.54	519.34	4.7	
149	1.1	324.0	510.96	3.88	
154	0.8	313.94	476.62	4.82	
159	0.82	382.38	406.88	3.94	
164	1.16	267.4	476.34	5.44	
169	0.82	310.58	573.86	5.12	
174	1.2	206.28	459.84	4.08	
179	1.12	282.82	559.3	4.78	
184	0.86	334.42	444.34	3.76	
189	0.66	359.38	472.48	3.64	
194	0.74	305.22	469.22	5.02	
199	0.98	255.36	538.8	4.9	
204	0.96	382.1	496.52	5.3	
209	1.16	186.2	417.48	4.26	
214	0.78	252.0	453.66	4.72	
219	0.72	347.52	422.46	4.98	
224	1.1	176.88	380.06	4.72	
229	1.12	315.92	485.4	5.14	
234	0.74	292.6	442.22	3.16	
239	0.86	256.72	440.52	4.5	
244	1.3	101.48	388.72	4.04	
249	0.72	111.72	428.66	3.92	
254	1.2	198.5	427.36	3.64	
259	0.9	105.58	460.92	3.7	
264	1.32	233.02	420.1	4.38	
269	0.98	118.64	381.04	3.82	
274	1.2	318.64	371.54	3.5	
279	0.94	145.14	386.94	3.84	
284	0.7	212.1	401.36	4.32	
289	0.92	219.16	403.04	2.92	
294	0.9	128.44	408.7	3.5	
