4	0.019	0.003	0.003	0.011	0.007	0.002	
9	0.019	0.002	0.004	0.008	0.007	0.003	
14	0.021	0.002	0.003	0.011	0.008	0.003	
19	0.016	0.002	0.004	0.011	0.006	0.004	
24	0.025	0.003	0.003	0.012	0.007	0.003	
29	0.019	0.002	0.003	0.008	0.008	0.002	
34	0.02	0.003	0.004	0.007	0.008	0.004	
39	0.015	0.002	0.002	0.007	0.009	0.002	
44	0.023	0.002	0.003	0.009	0.006	0.003	
49	0.019	0.003	0.003	0.008	0.008	0.003	
54	0.016	0.002	0.004	0.009	0.009	0.003	
59	0.021	0.002	0.005	0.013	0.008	0.003	
64	0.02	0.002	0.005	0.016	0.009	0.003	
69	0.02	0.002	0.003	0.011	0.008	0.003	
74	0.02	0.002	0.006	0.013	0.01	0.004	
79	0.022	0.003	0.004	0.014	0.006	0.003	
84	0.02	0.003	0.003	0.012	0.005	0.003	
89	0.021	0.002	0.003	0.006	0.007	0.002	
94	0.022	0.002	0.002	0.018	0.009	0.004	
99	0.019	0.003	0.003	0.011	0.008	0.003	
104	0.014	0.002	0.005	0.015	0.005	0.003	
109	0.016	0.002	0.003	0.01	0.004	0.003	
114	0.019	0.002	0.004	0.015	0.005	0.003	
119	0.014	0.002	0.004	0.01	0.007	0.003	
124	0.021	0.002	0.003	0.005	0.009	0.002	
129	0.018	0.003	0.001	0.009	0.004	0.003	
134	0.016	0.002	0.003	0.006	0.006	0.003	
139	0.017	0.002	0.003	0.006	0.007	0.004	
144	0.023	0.002	0.002	0.01	0.007	0.003	
149	0.017	0.002	0.004	0.008	0.004	0.003	
154	0.02	0.003	0.005	0.006	0.004	0.002	
159	0.02	0.003	0.003	0.006	0.003	0.003	
164	0.021	0.003	0.003	0.007	0.006	0.004	
169	0.016	0.002	0.003	0.008	0.005	0.003	
174	0.015	0.002	0.005	0.01	0.002	0.004	
179	0.018	0.002	0.004	0.011	0.005	0.003	
184	0.02	0.003	0.002	0.004	0.004	0.003	
189	0.022	0.003	0.005	0.011	0.005	0.004	
194	0.023	0.002	0.003	0.013	0.005	0.005	
199	0.017	0.003	0.004	0.006	0.005	0.004	
204	0.018	0.011	0.003	0.009	0.004	0.008	
209	0.024	0.006	0.003	0.005	0.009	0.004	
214	0.021	0.008	0.003	0.009	0.007	0.007	
219	0.015	0.003	0.003	0.012	0.008	0.005	
224	0.019	0.008	0.004	0.009	0.008	0.004	
229	0.02	0.003	0.003	0.009	0.007	0.003	
234	0.025	0.004	0.004	0.009	0.006	0.005	
239	0.022	0.011	0.002	0.003	0.007	0.01	
244	0.025	0.005	0.002	0.009	0.005	0.003	
249	0.017	0.006	0.004	0.007	0.008	0.005	
254	0.022	0.003	0.002	0.007	0.004	0.004	
259	0.016	0.004	0.003	0.007	0.01	0.004	
264	0.033	0.017	0.009	0.011	0.009	0.019	
269	0.024	0.01	0.002	0.007	0.006	0.01	
274	0.02	0.006	0.003	0.01	0.009	0.005	
279	0.023	0.004	0.002	0.003	0.004	0.006	
284	0.023	0.005	0.004	0.007	0.004	0.008	
289	0.036	0.015	0.012	0.014	0.009	0.023	
294	0.029	0.019	0.004	0.011	0.007	0.02	
