0	-nan	-nan	-nan	-nan	-nan	-nan
100	0.775403	0.289316	0.341256	0.37758	0.254843	0.578169
101	0.779452	0.290125	0.340909	0.382901	0.255537	0.578863
102	0.778873	0.29001	0.341487	0.383479	0.255537	0.578747
103	0.733064	0.288506	0.342876	0.382901	0.258892	0.576896
104	0.715596	0.27821	0.338017	0.380472	0.264444	0.569608
105	0.77737	0.289547	0.338711	0.381397	0.266642	0.580135
106	0.780724	0.290357	0.338827	0.380703	0.265948	0.580829
107	0.773436	0.289084	0.338364	0.381513	0.264097	0.578863
108	0.769619	0.287928	0.337092	0.383479	0.259239	0.577243
109	0.780956	0.290241	0.337439	0.384867	0.259239	0.58002
110	0.756663	0.288622	0.334894	0.381744	0.254265	0.574467
111	0.784889	0.290357	0.335472	0.383826	0.252645	0.58002
112	0.787202	0.291051	0.335588	0.384405	0.250794	0.581292
113	0.784542	0.29082	0.335588	0.384405	0.252529	0.578863
114	0.782459	0.29082	0.336397	0.383132	0.252067	0.579441
115	0.782691	0.290588	0.336282	0.384867	0.253108	0.578516
116	0.78165	0.290472	0.336976	0.383942	0.25172	0.579788
117	0.780146	0.290472	0.33686	0.384405	0.253224	0.578978
118	0.725314	0.29001	0.33605	0.384867	0.260974	0.576318
119	0.738732	0.287696	0.332811	0.380934	0.263866	0.575971
120	0.754812	0.283069	0.329225	0.366012	0.249406	0.568336
121	0.783616	0.29001	0.331539	0.371564	0.252182	0.575508
122	0.786277	0.290472	0.33177	0.370986	0.252992	0.577359
123	0.783501	0.290588	0.332002	0.372027	0.251604	0.578284
124	0.783501	0.290472	0.331886	0.372027	0.25172	0.578053
125	0.782459	0.290472	0.332349	0.372027	0.251835	0.579557
126	0.782922	0.290472	0.332696	0.372027	0.251604	0.579325
127	0.78165	0.290125	0.332696	0.371911	0.251141	0.57921
128	0.779799	0.290241	0.332811	0.372952	0.253108	0.578863
129	0.778873	0.290125	0.333505	0.370986	0.250679	0.5784
130	0.778295	0.289894	0.333158	0.373299	0.251951	0.5784
131	0.778989	0.29001	0.33339	0.372143	0.252414	0.578284
132	0.77737	0.289894	0.333621	0.372143	0.250332	0.578284
133	0.76557	0.289663	0.33339	0.372027	0.250216	0.578516
134	0.694774	0.282606	0.332117	0.383016	0.238532	0.573657
135	0.773552	0.286308	0.336629	0.389263	0.241656	0.578284
136	0.76048	0.2892	0.335356	0.387991	0.238995	0.577937
137	0.761521	0.286771	0.332117	0.391808	0.229625	0.576318
138	0.78512	0.290472	0.333852	0.38961	0.232054	0.579788
139	0.782112	0.290357	0.334084	0.390073	0.234483	0.580135
140	0.783154	0.290588	0.334315	0.38961	0.233558	0.579672
141	0.782112	0.290241	0.334084	0.388916	0.234715	0.579672
142	0.780724	0.290241	0.334084	0.388569	0.234483	0.57921
143	0.781187	0.290241	0.334315	0.389379	0.235524	0.578747
144	0.78084	0.29001	0.334547	0.388222	0.23483	0.578747
145	0.779221	0.290241	0.334084	0.388453	0.23645	0.578747
146	0.778873	0.290125	0.334431	0.38695	0.235524	0.578516
147	0.775981	0.289778	0.334315	0.387991	0.236219	0.578169
148	0.767421	0.28758	0.333274	0.380819	0.232632	0.575971
149	0.778642	0.289778	0.334315	0.381513	0.23217	0.579325
150	0.741971	0.29001	0.330266	0.378158	0.234483	0.578284
151	0.762794	0.289547	0.333505	0.390189	0.237722	0.580135
152	0.741277	0.280871	0.329804	0.376423	0.241656	0.570418
153	0.781187	0.289894	0.331886	0.379893	0.244432	0.579441
154	0.781303	0.290125	0.331308	0.380124	0.2442	0.579325
155	0.780956	0.290241	0.331886	0.380009	0.243738	0.58002
156	0.779336	0.29001	0.331655	0.37943	0.2442	0.579094
157	0.778989	0.290357	0.33177	0.378505	0.243159	0.579788
158	0.779915	0.289778	0.332696	0.379893	0.244779	0.578978
159	0.759786	0.2892	0.331655	0.379546	0.241424	0.577822
160	0.776675	0.288622	0.329225	0.385561	0.231244	0.577012
161	0.782691	0.290704	0.330729	0.387412	0.232054	0.579441
162	0.783732	0.290704	0.330845	0.386487	0.234715	0.579325
163	0.781071	0.290241	0.331076	0.386371	0.233442	0.577822
164	0.762447	0.290241	0.331655	0.386487	0.23645	0.577937
165	0.749028	0.29001	0.33339	0.377695	0.257157	0.578863
166	0.72381	0.286424	0.334662	0.378736	0.256231	0.575045
167	0.739658	0.277863	0.330151	0.368788	0.244779	0.569608
168	0.783154	0.290357	0.33258	0.371564	0.246398	0.58002
169	0.783269	0.290241	0.332927	0.372143	0.246861	0.579904
170	0.780724	0.29001	0.332464	0.370407	0.246398	0.579557
171	0.78165	0.290357	0.332927	0.371796	0.246398	0.579325
172	0.779915	0.29001	0.332696	0.371796	0.246051	0.578631
173	0.769619	0.288853	0.332811	0.374456	0.245936	0.57759
174	0.777254	0.288159	0.332927	0.376307	0.243853	0.577706
175	0.780956	0.290357	0.332696	0.37596	0.243159	0.579325
176	0.766149	0.289084	0.332349	0.379315	0.243275	0.577822
177	0.779336	0.289894	0.331308	0.382669	0.236681	0.578863
178	0.782922	0.290472	0.332464	0.383826	0.237491	0.579325
179	0.781303	0.290472	0.332233	0.383479	0.237954	0.578747
180	0.781187	0.290472	0.33258	0.382091	0.237144	0.5784
181	0.781765	0.290472	0.332349	0.383248	0.239573	0.578631
182	0.736419	0.289894	0.330382	0.38452	0.23055	0.577475
183	0.778758	0.290588	0.331423	0.388569	0.22199	0.579325
184	0.777832	0.289431	0.332117	0.389148	0.2228	0.578631
185	0.76048	0.288275	0.331539	0.388916	0.223147	0.576202
186	0.767537	0.287002	0.330266	0.388453	0.220023	0.575971
187	0.782807	0.289894	0.331308	0.38695	0.22199	0.57921
188	0.782344	0.290241	0.331539	0.386487	0.224535	0.579557
189	0.780609	0.29001	0.331655	0.387528	0.2228	0.579672
190	0.778758	0.290241	0.331886	0.387297	0.225807	0.578747
191	0.781534	0.289894	0.331886	0.386371	0.225229	0.579094
192	0.776791	0.290241	0.332002	0.38695	0.226501	0.578631
