Flow	 FCT 
0	2450.71
1	2438.18
2	2345.58
3	2439.95
4	2435.49
5	2589.58
6	2759
7	2681.67
8	2712.08
9	2596.78
10	2578.74
11	2700.21
12	2902.61
13	2687.86
14	2639.84
15	2688.99
16	2678.49
17	2586.03
18	2727.3
19	2806.05
20	2758.4
21	2653.28
22	2525.84
23	2684.17
24	2760.36
25	2665.1
26	2672.29
27	2559.33
28	2773.9
29	2380.27
30	2385.03
31	2299.87
32	2668.82
33	2753.11
34	2877.55
35	2677.84
36	2703.31
37	2539.18
38	2759.72
39	2606.78
40	2691.56
41	2650.97
42	2699.17
43	2611.13
44	2669.94
45	2716.85
46	2598.88
47	2639.1
48	2758.34
49	2620.99
50	2670.77
51	2680.21
52	2576.71
53	2757.03
54	2809.86
55	2586.15
56	2552.39
57	2400.34
58	2415.9
59	2415.35
