Flow	 FCT 
0	2429.17
1	2404.3
2	2386.29
3	2341.95
4	2413.69
5	2717.01
6	2639.44
7	2657.06
8	2675.42
9	2709.24
10	2717.38
11	2667.21
12	2653.49
13	2675.54
14	2712.21
15	2709.56
16	2758.5
17	2642.74
18	2715.43
19	2626.48
20	2779.42
21	2528.31
22	2683.41
23	2765.85
24	2706.97
25	2612.23
26	2672.44
27	2645.16
28	2654.21
29	2408.84
30	2372.31
31	2393.02
32	2514.8
33	2676.89
34	2738.55
35	2675.3
36	2639.89
37	2626.82
38	2611.68
39	2584.07
40	2640.38
41	2724.04
42	2616.96
43	2699.02
44	2640.53
45	2663.87
46	2789.27
47	2798.68
48	2571.95
49	2613.14
50	2815.49
51	2625.75
52	2593.28
53	2735.83
54	2769.01
55	2699.47
56	2720.21
57	2425.4
58	2437.39
59	2356.21
