4	1.318	196.385	314.831	28.685	
9	1.624	268.87	259.929	31.791	
14	1.624	261.186	242.793	32.371	
19	1.455	202.685	243.562	32.428	
24	1.523	189.063	252.936	34.737	
29	1.751	199.996	275.902	40.012	
34	1.454	259.658	296.185	35.495	
39	1.168	227.254	237.034	31.187	
44	1.49	282.761	299.364	34.567	
49	0.959	200.065	258.448	31.992	
54	1.809	235.94	312.871	37.837	
59	1.54	238.291	293.145	36.59	
64	1.523	221.33	285.9	35.698	
69	1.378	310.268	269.269	30.661	
74	1.376	304.613	263.53	32.914	
79	1.005	231.903	240.258	34.771	
84	1.233	236.228	255.481	30.766	
89	1.478	253.735	235.582	30.402	
94	1.762	190.151	254.326	32.739	
99	1.046	201.184	273.637	32.538	
104	1.342	168.635	318.352	33.011	
109	1.748	246.397	253.005	34.1	
114	1.302	237.222	281.808	32.301	
119	2.147	225.755	272.369	31.458	
124	1.753	222.392	266.992	34.094	
129	1.223	245.821	228.238	33.303	
134	1.568	216.79	219.953	34.484	
139	1.178	187.825	306.667	29.922	
144	1.676	258.552	218.838	32.835	
149	1.446	194.875	223.451	32.667	
154	1.515	234.481	277.096	33.447	
159	1.717	207.731	247.899	33.353	
164	1.917	190.518	219.592	34.854	
169	1.264	248.483	284.554	30.671	
174	2.135	206.311	168.019	30.828	
179	1.241	235.668	266.765	33.418	
184	1.386	206.432	266.796	33.004	
189	1.523	239.516	271.93	28.845	
194	1.619	254.87	280.892	28.249	
199	1.351	256.901	264.504	29.867	
204	1.495	291.641	273.674	35.254	
209	1.883	230.715	290.484	31.77	
214	1.442	166.187	266.562	30.603	
219	1.369	220.885	272.209	30.299	
224	2.044	123.969	239.186	33.335	
229	1.296	226.66	257.594	31.025	
234	1.497	218.225	249.9	25.796	
239	1.177	220.69	286.037	30.852	
244	1.483	206.806	273.775	30.81	
249	1.437	235.838	262.068	28.329	
254	1.447	194.463	276.641	30.84	
259	1.442	247.196	229.54	25.127	
264	1.647	218.6	302.387	28.307	
269	1.164	227.348	279.192	30.784	
274	1.705	257.193	296.521	32.298	
279	1.688	265.355	234.262	24.187	
284	1.275	227.273	289.217	26.748	
289	1.455	210.877	292.797	29.102	
294	1.879	131.031	267.121	26.018	
