0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	85314	63624	99774	98328	101220	85314	82422	89652	85314	88206	92544	62178	92544	93990	86760	92544	80976	93990	91098	18798	85314	62178	76638	92544	13014	72300	75192	69408	76638	73746	80976	27474	26028	72300	40488	70854	60732	66516	39042	69408	56394	30366	40488	70854	40488	53502	56394	73746	72300	70854	30366	18798	49164	8676	75192	75192	4338	82422	69408	70854
2	186534	166290	200994	199548	203886	180750	179304	185088	180750	185088	187980	157614	189426	189426	182196	187980	176412	189426	186534	76638	182196	159060	172074	189426	43380	43380	48650	44826	49887	43380	46272	21786	14460	176412	27474	48650	43380	43380	24582	173520	36150	28920	28197	44826	112788	36150	36150	49164	176412	90959	18798	14747	31089	5061	48441	33948	4338	193764	42657	42352
3	62218	62251	57840	61664	62053	62178	61921	60218	61921	61921	59286	60732	61664	61664	61921	296430	61921	61921	62644	33732	28920	62644	62178	56394	131586	1446	53502	47937	52035	8676	25205	27679	16862	296430	29798	51995	45248	5784	26142	294984	37392	31938	30053	47523	232806	38376	1446	51424	297876	63208	19560	16986	33283	6867	50774	24135	4691	315228	15906	13014
4	64909	64973	31001	64739	64781	64390	2892	62989	64173	63307	2892	64362	4338	63629	63917	417894	63853	1446	64490	23179	63725	64970	64390	1446	248712	8676	55913	50253	54362	25157	30506	32831	18962	417894	32016	54362	47610	22722	28355	415002	39600	34260	32447	49899	354270	40632	8676	53744	417894	65481	21493	19505	35399	8769	53080	26362	6606	436692	26917	26606
5	67525	67555	36135	67362	67372	67024	13014	65679	66783	65977	26028	66997	27474	66256	66535	539358	66473	8676	67121	26996	66349	67552	67024	8676	364392	23494	58054	52351	56489	28928	34349	36597	21048	539358	34151	56489	49692	24824	30407	536466	41690	36317	34494	52006	475734	42769	19560	55850	539358	67615	23440	21537	37504	10912	55217	28412	8318	556710	30875	30604
6	70005	70034	40465	69850	69860	69528	31835	68227	69295	68515	31665	69502	31991	68815	69055	659376	68995	31573	69622	30058	68905	70060	69528	28368	481518	25533	59872	54322	58355	32321	37743	40059	23123	659376	35928	58285	51567	26606	32200	657930	43585	38102	36253	53803	595752	44663	21298	57704	659376	69505	25483	23303	39445	12693	57124	30460	10356	678174	34436	34133
7	72402	72458	44371	72252	72290	71825	34285	70539	71600	70817	34248	71800	34309	71107	71368	780840	71310	33674	71916	32451	71194	72343	71854	30894	600090	27114	61636	56080	60163	35620	41108	43385	24944	780840	37730	60061	53184	28639	34201	777948	45261	39856	38149	55501	714324	46256	22810	59430	780840	71223	27145	24944	41242	14682	58901	31991	11691	799638	37878	37658
8	74752	74779	48083	74604	74614	74047	36340	72749	73802	73018	36363	74051	36534	73382	73606	902304	73550	35997	74163	34678	73438	74583	74075	32912	718662	28897	63352	57820	61820	38851	44308	46605	26481	899412	39345	61721	54982	30056	35627	897966	47053	41486	39589	57221	832896	48010	24568	61105	899412	72906	28925	26637	42867	16044	60557	33821	13677	919656	41281	40980
9	76993	77020	51527	76848	76858	76149	38394	74897	75940	75157	38415	76207	38739	75535	75751	1022322	75724	38232	76315	36825	75589	76747	76230	35051	837234	30232	65081	59368	63467	41880	47377	49613	27934	1019430	40946	63371	56610	31606	37222	1016538	48569	43150	41329	58890	951468	49621	26288	62734	1019430	74530	30329	28450	44339	17658	62235	35144	15130	1041120	44423	44188
10	79168	79220	54754	79028	79064	78225	40445	76949	77998	77236	40465	78307	40822	77634	77868	1143786	77816	40292	78411	38853	77686	78801	78329	37121	955806	31904	66485	60909	65067	44747	50214	52487	29806	1138002	42485	64907	58014	33395	38911	1135110	50035	44660	42951	60309	1070040	51059	27676	64226	1138002	76048	31866	29806	45988	19458	63774	36817	16456	1161138	47397	47089
11	81317	81342	57762	81182	81192	80227	42493	78944	80000	79220	42512	80335	42804	79636	79896	1265250	79844	42248	80439	40880	79714	80839	80357	39133	1074378	33368	67987	62445	66533	47441	52937	55210	31368	1256574	44016	66347	59521	34915	40375	1253682	51579	46073	44327	61796	1188612	52494	29069	65718	1256574	77530	33455	31302	47539	20805	65278	38361	18263	1282602	50192	49946
12	83392	83417	60650	83257	83267	82160	44540	80901	81942	81167	44558	82289	44696	81592	81842	1385268	81792	44118	82389	42859	81667	82814	82310	41098	1194396	34889	69457	63881	68003	50028	55526	57838	32730	1375146	45499	67763	60956	36312	41838	1373700	53040	47534	45706	63215	1308630	53967	30601	67144	1375146	78960	34854	32666	48951	22164	66706	39845	19799	1404066	52877	52565
