0	0	0	0	0	0	0
1	61	99	389	0	0	99
2	2	766	810	0	0	414
3	0	0	215	0	0	696
4	0	0	233	0	0	765
5	0	35	324	0	0	772
6	0	0	386	0	1	784
7	0	277	451	0	0	767
8	0	331	0	0	0	741
9	0	0	571	0	0	722
10	4	0	626	0	0	707
11	1	474	686	0	0	692
12	1	0	733	0	0	676
13	0	0	0	0	1	665
14	1	596	0	0	0	656
15	0	627	606	0	0	637
16	0	695	548	0	0	607
17	0	709	597	0	0	624
18	0	740	0	1	0	614
19	0	772	697	0	0	0
20	1	804	741	0	0	0
21	0	829	796	0	0	603
22	2	543	0	0	0	617
23	0	324	0	0	0	650
24	5	306	0	0	0	686
25	0	321	717	0	0	715
26	1	339	758	0	0	749
27	2	369	780	0	0	767
28	0	402	812	1	0	786
29	0	432	831	1	0	797
30	3	456	0	0	0	880
31	0	454	482	0	0	949
32	0	454	512	1	0	983
33	0	474	0	0	0	1006
34	0	491	581	0	0	1018
35	0	515	0	0	0	1024
36	1	546	662	0	0	1026
37	0	578	0	0	0	1027
38	0	610	737	0	0	1025
39	1	643	775	0	0	1025
40	1	679	813	0	0	1024
41	0	708	0	0	0	0
42	2	0	606	0	0	1054
43	0	754	632	0	0	1074
44	0	0	665	1	0	1080
45	0	799	703	0	0	1091
46	6	823	737	0	0	1090
47	1	829	783	0	0	1088
48	4	607	816	0	0	1091
49	0	503	816	0	0	0
50	0	497	0	0	0	1014
51	1	538	398	0	0	967
52	1	0	471	0	0	931
53	1	649	546	0	0	899
54	0	701	616	1	0	867
55	0	751	670	0	0	842
56	0	0	736	0	1	815
57	0	829	782	0	0	792
58	1	0	830	0	0	720
59	1	194	336	0	0	681
60	1	236	341	0	0	668
61	4	294	406	0	0	655
62	0	0	474	0	0	649
63	0	392	539	0	0	635
64	0	441	599	0	0	0
65	0	486	651	0	0	624
66	0	529	704	0	0	618
67	0	571	745	0	1	608
68	0	0	794	0	0	610
69	1	647	828	0	0	611
70	0	683	612	0	0	594
71	0	745	628	0	0	538
72	0	799	690	0	0	511
73	0	824	755	0	0	483
74	0	408	826	0	0	429
75	1	408	502	0	0	419
76	0	483	472	0	0	364
77	2	547	549	1	0	350
78	0	595	607	0	0	339
79	4	0	666	0	0	337
80	0	680	725	0	0	0
81	0	720	0	0	0	334
82	0	753	819	0	0	339
83	2	786	686	0	0	343
84	0	813	493	0	0	0
85	0	821	533	0	0	417
86	0	831	580	0	0	444
87	2	690	623	0	0	452
88	0	603	0	0	0	435
89	2	627	737	0	0	446
90	0	652	779	0	0	462
91	1	681	823	0	0	473
92	0	711	679	0	0	0
93	1	712	452	0	0	593
94	3	687	460	0	0	676
95	0	0	495	0	1	0
96	1	675	522	0	0	766
97	8	678	559	0	0	0
98	3	691	598	1	0	0
99	3	710	645	0	0	832
100	0	729	683	0	0	844
101	2	753	719	1	0	856
102	1	775	755	0	0	856
103	3	799	800	0	0	0
104	0	0	827	0	0	865
105	0	769	0	0	0	907
106	1	382	477	0	0	869
107	2	326	0	0	0	914
108	3	326	537	1	0	951
109	0	0	575	0	0	972
