0	-nan	-nan	-nan	-nan	-nan	-nan
99	0.777023	0.290241	0.331886	0.370292	0.244316	0.579094
100	0.778411	0.290588	0.331886	0.367284	0.241077	0.578747
101	0.778526	0.290125	0.332117	0.367515	0.2442	0.57921
102	0.77656	0.290241	0.332349	0.366127	0.240961	0.578631
103	0.77737	0.290241	0.332233	0.373068	0.2442	0.579557
104	0.778642	0.29001	0.332002	0.362888	0.24235	0.578978
105	0.776213	0.290357	0.332233	0.372837	0.243044	0.579325
106	0.777832	0.290241	0.332117	0.367978	0.244085	0.578978
107	0.761753	0.29001	0.335241	0.370523	0.243275	0.578978
108	0.747293	0.289431	0.342876	0.384289	0.250679	0.57921
109	0.764529	0.288622	0.34357	0.386371	0.242812	0.578631
110	0.747871	0.28758	0.343338	0.385908	0.249059	0.579672
111	0.696394	0.269072	0.333968	0.360575	0.240036	0.569377
112	0.766264	0.263403	0.336513	0.356757	0.249175	0.574004
113	0.778873	0.284804	0.338827	0.366012	0.251026	0.5784
114	0.780377	0.289316	0.340099	0.3674	0.252182	0.578863
115	0.778989	0.290125	0.339174	0.367053	0.251835	0.580482
116	0.780262	0.290704	0.339752	0.370523	0.252529	0.579904
117	0.778411	0.290241	0.339058	0.366474	0.250332	0.580135
118	0.778064	0.290357	0.339174	0.36659	0.248943	0.579788
119	0.778758	0.290241	0.339405	0.369019	0.251951	0.579904
120	0.779105	0.290588	0.339058	0.369829	0.25172	0.579325
121	0.778758	0.290241	0.339058	0.366243	0.248249	0.579557
122	0.777832	0.290241	0.339174	0.369366	0.25172	0.579441
123	0.778758	0.290357	0.339174	0.369366	0.24929	0.579094
124	0.777717	0.290241	0.339058	0.365896	0.249522	0.579904
125	0.778295	0.290241	0.339289	0.371911	0.24929	0.57921
126	0.763951	0.290125	0.341256	0.367053	0.251488	0.579788
127	0.745095	0.29001	0.349469	0.370986	0.252645	0.578863
128	0.77494	0.29001	0.344958	0.36659	0.251141	0.579788
129	0.777832	0.290241	0.344148	0.364623	0.249175	0.579325
130	0.779683	0.290241	0.345073	0.365202	0.250332	0.57921
131	0.777138	0.290357	0.343801	0.361269	0.249406	0.579788
132	0.78003	0.290241	0.344958	0.366706	0.25172	0.578978
133	0.778064	0.290241	0.343917	0.368325	0.248828	0.578863
134	0.777023	0.290125	0.343917	0.36231	0.249869	0.578863
135	0.778295	0.290241	0.344611	0.365086	0.248943	0.578747
136	0.778411	0.290125	0.343685	0.367284	0.249175	0.579325
137	0.776329	0.289894	0.343801	0.364855	0.250447	0.578747
138	0.777254	0.29001	0.344032	0.366706	0.24744	0.578747
139	0.77737	0.29001	0.343917	0.36578	0.2501	0.579094
140	0.77737	0.290357	0.343685	0.36659	0.246514	0.578747
141	0.730635	0.289778	0.342876	0.367747	0.249637	0.577822
142	0.770197	0.290125	0.340909	0.368325	0.247902	0.579325
143	0.779915	0.290241	0.340909	0.369945	0.249059	0.579441
144	0.777138	0.290241	0.340331	0.367168	0.249406	0.578978
145	0.779452	0.29001	0.340562	0.369366	0.245704	0.579325
146	0.777601	0.290125	0.340678	0.367978	0.248828	0.578863
147	0.777254	0.289894	0.341256	0.369829	0.249637	0.578747
148	0.778873	0.29001	0.340793	0.371217	0.247208	0.579325
149	0.776213	0.290125	0.340331	0.367862	0.246051	0.578978
150	0.77656	0.290125	0.341603	0.370986	0.249869	0.578978
151	0.778642	0.289894	0.340909	0.369713	0.246861	0.578631
152	0.776444	0.29001	0.341256	0.371564	0.246861	0.579325
153	0.777138	0.289894	0.341025	0.369251	0.249175	0.578863
154	0.746599	0.28839	0.341487	0.371217	0.244432	0.578169
155	0.765455	0.290588	0.341487	0.374919	0.250447	0.574467
156	0.727049	0.293827	0.339984	0.376423	0.236797	0.576318
157	0.77494	0.2951	0.339521	0.37758	0.235987	0.583027
158	0.779336	0.295215	0.339637	0.377117	0.236797	0.580829
159	0.781303	0.295562	0.339752	0.377001	0.237954	0.579557
