0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
1	0.2892	0.34704	0.856032	0.312336	0.17352	1.1221	0.196656	0.208224
2	1.61952	1.52698	4.32643	1.29562	0.92544	5.4948	0.879168	0.98328
3	6.11947	5.79557	16.0332	4.70818	3.30845	17.8726	3.1812	3.16963
4	8.0629	7.54234	21.0653	3.38942	2.08224	13.0371	2.40614	2.39458
5	4.53466	4.71974	13.7312	2.57966	1.7699	10.203	1.87402	2.20949
6	7.81997	4.49995	12.5976	5.34442	3.69019	21.1	3.63235	3.85214
7	9.5089	6.77885	19.7581	5.47166	4.0835	22.0602	3.86371	3.89842
8	9.60144	7.06805	20.244	5.32128	4.11821	21.4818	3.69019	4.06037
9	9.64771	7.10275	20.7993	5.21717	4.16448	21.0885	3.67862	4.3727
10	9.65928	7.27627	20.8918	5.08992	4.17605	21.0422	3.69019	4.38427
11	9.63614	7.18373	21.0422	5.11306	4.26859	20.9149	3.63235	4.43054
12	9.64771	7.35725	21.0769	5.11306	4.32643	20.7993	3.57451	4.46525
13	9.65928	7.28784	21.181	5.10149	4.41898	20.7183	3.60922	4.58093
14	9.62458	7.34568	21.2736	5.03208	4.41898	20.6373	3.62078	4.60406
15	9.65928	7.42666	21.3545	5.13619	4.51152	20.4291	3.62078	4.63877
16	9.63614	7.32254	21.4355	5.1709	4.55779	20.3481	3.57451	4.77758
17	9.63614	7.47293	21.4586	4.9164	4.5925	20.6257	3.53981	4.84699
18	9.63614	7.50763	21.4586	4.9511	4.6619	20.3481	3.70176	4.70818
19	9.64771	7.46136	21.5165	4.97424	4.73131	20.4291	3.53981	4.80072
20	9.60144	7.39195	21.5628	5.07835	4.69661	20.3365	3.56294	4.8817
21	9.58987	7.42666	21.5396	4.98581	4.70818	20.2209	3.71333	4.77758
22	9.61301	7.4845	21.5512	4.9164	4.75445	20.4638	3.53981	4.92797
23	9.58987	7.4845	21.5628	4.96267	4.76602	20.325	3.56294	4.78915
24	9.60144	7.4845	21.5165	5.08992	4.76602	20.1746	3.65549	4.93954
25	9.60144	7.4845	21.5165	4.76602	4.76602	20.6373	3.5051	4.89326
26	9.58987	7.47293	21.6206	5.2056	4.74288	19.9085	3.74803	4.83542
27	9.58987	7.43822	21.5859	4.71974	4.77758	20.672	3.49354	4.92797
28	9.60144	7.53077	21.5049	5.2403	4.76602	19.8623	3.77117	4.8817
29	9.61301	7.46136	21.5859	4.67347	4.76602	20.7299	3.48197	4.89326
30	9.58987	7.46136	21.5396	5.2403	4.75445	19.897	3.74803	4.85856
31	9.61301	7.5539	21.4702	4.76602	4.78915	20.4985	3.59765	4.9164
32	9.60144	7.43822	21.5512	5.05522	4.76602	20.2903	3.56294	4.89326
33	9.61301	7.46136	21.4818	4.97424	4.73131	20.1977	3.7249	4.8817
34	9.61301	7.58861	21.3892	4.76602	4.19918	20.163	3.42413	3.97939
35	9.62458	7.32254	21.2273	4.61563	2.33674	16.5538	2.97298	2.55653
36	9.64771	7.02178	19.5036	5.00894	4.15291	20.1052	3.45883	4.09507
37	9.64771	5.00894	5.93438	3.13493	4.89326	13.8932	2.6375	5.00894
38	9.63614	7.10275	17.5371	5.42539	4.89326	21.2157	4.21075	5.07835
39	9.65928	7.78526	20.3712	5.00894	4.45368	21.0885	3.81744	4.54622
40	9.64771	7.7737	20.7761	5.1709	4.41898	20.325	3.85214	4.52309
41	9.63614	7.83154	20.8802	5.11306	4.49995	20.1746	3.89842	4.51152
42	9.64771	7.91251	20.8571	5.07835	4.56936	20.1862	3.88685	4.6272
43	9.65928	7.99349	20.7877	4.99738	4.58093	20.2787	3.84058	4.68504
44	9.63614	7.90094	20.9728	4.99738	4.6619	20.2324	3.80587	4.70818
45	9.65928	7.87781	20.9959	5.00894	4.6272	20.2787	3.7596	4.71974
46	9.65928	7.91251	21.0191	4.9164	4.67347	20.2903	3.7943	4.78915
47	9.67085	8.00506	20.9034	4.98581	4.69661	20.0473	3.94469	4.74288
48	9.67085	7.88938	21.0653	5.02051	4.74288	19.9895	3.89842	4.83542
49	9.67085	7.99349	20.9381	4.93954	4.68504	20.1283	3.90998	4.80072
50	9.67085	7.95878	20.9728	5.00894	4.73131	20.2209	3.71333	4.80072
51	9.70555	7.91251	21.0306	5.07835	4.70818	20.0705	3.78274	4.81229
52	9.67085	7.98192	21.0191	4.87013	4.76602	20.1168	3.96782	4.82386
53	9.67085	7.97035	20.9728	4.8817	4.76602	20.2556	3.77117	4.81229
54	9.67085	7.95878	20.9959	5.18246	4.76602	20.0126	3.7249	4.84699
55	9.68242	8.01662	20.9612	4.80072	4.73131	20.1283	4.00253	4.80072
56	9.67085	7.99349	20.9381	5.05522	4.75445	20.1168	3.71333	4.84699
57	9.67085	7.99349	21.0075	4.9164	4.70818	20.1283	3.87528	4.82386
58	9.67085	7.94722	20.8108	4.49995	2.46398	14.1708	4.02566	2.74162
59	9.68242	7.8431	20.4754	5.47166	3.97939	18.0114	4.55779	4.07194
60	9.68242	7.90094	20.5679	5.62205	4.3727	19.2839	4.6272	4.32643
61	9.67085	7.85467	20.6373	5.58734	4.45368	19.0641	4.75445	4.41898
62	9.68242	7.88938	20.7183	5.29814	4.52309	19.145	4.80072	4.53466
63	9.67085	7.92408	20.753	5.5295	4.52309	19.2029	4.49995	4.6272
64	9.67085	8.01662	20.7993	5.35598	4.67347	19.0756	4.65034	4.60406
65	9.68242	7.94722	20.8224	5.41382	4.73131	19.0178	4.63877	4.6619
66	9.67085	7.94722	20.9034	5.34442	4.71974	19.2029	4.49995	4.71974
67	9.67085	7.97035	20.8687	5.22874	4.68504	19.1219	4.67347	4.85856
68	9.69398	7.95878	21.0191	5.50637	4.85856	19.0641	4.40741	4.69661
69	9.68242	7.90094	21.0306	5.08992	4.76602	19.1335	4.68504	4.87013
70	9.65928	7.81997	21.1	5.34442	4.80072	19.1335	4.45368	4.77758
71	9.68242	7.85467	21.1463	5.22874	4.83542	18.9947	4.65034	4.87013
72	9.68242	7.97035	21.0306	5.22874	4.89326	19.2492	4.44211	4.78915
73	9.67085	7.75056	21.2157	5.2056	4.75445	19.0988	4.61563	4.89326
74	9.67085	7.79683	21.2273	5.2403	4.92797	19.2376	4.3727	4.82386
75	9.65928	7.86624	21.1232	5.11306	4.85856	19.1566	4.5925	4.87013
76	9.64771	7.69272	21.2967	5.33285	4.81229	19.2029	4.338	4.84699
77	9.63614	7.78526	21.2504	4.9164	4.89326	19.4342	4.51152	4.87013
78	9.62458	7.72742	21.2736	5.33285	4.87013	19.0988	4.43054	4.89326
79	9.63614	7.65802	21.3314	5.11306	4.85856	19.3648	4.39584	4.87013
80	9.63614	7.75056	21.262	5.15933	4.92797	19.226	4.46525	4.85856
81	9.62458	7.62331	21.4124	5.13619	4.85856	19.3301	4.38427	4.87013
82	9.63614	7.73899	21.2736	5.14776	4.84699	18.9831	4.0835	3.7943
83	9.62458	7.49606	21.2851	4.51152	2.3483	14.8186	1.39973	2.9267
84	9.69398	7.42666	19.2607	5.08992	4.49995	17.8726	2.93827	4.43054
85	9.67085	6.98707	11.6837	3.96782	5.14776	15.05	3.71333	5.1709
86	9.67085	8.50248	19.0062	5.29814	5.39069	19.2954	4.11821	5.27501
87	9.69398	8.6413	20.5448	5.29814	5.14776	19.1682	4.15291	5.12462
88	9.67085	8.74541	20.4754	5.25187	5.10149	19.1913	4.21075	5.06678
89	9.65928	8.78011	20.4522	5.13619	5.06678	19.2954	4.19918	5.02051
90	9.70555	8.79168	20.5795	4.98581	5.04365	19.5731	4.17605	4.9511
91	9.67085	8.79168	20.5679	5.21717	4.97424	19.5268	3.99096	4.98581
92	9.67085	8.75698	20.5795	5.30971	4.93954	19.4111	4.0141	4.9511
93	9.65928	8.72227	20.6142	5.39069	4.9511	19.145	4.19918	4.9164
94	9.70555	8.7107	20.591	5.04365	4.93954	19.4342	4.23389	4.90483
95	9.65928	8.66443	20.4638	5.25187	4.9164	19.8391	3.7596	4.92797
96	9.67085	8.7107	20.4522	5.30971	4.90483	19.1797	4.25702	4.83542
97	9.67085	8.82638	20.3712	4.96267	4.90483	19.5152	4.3033	4.8817
98	9.69398	8.73384	20.4869	5.47166	4.8817	19.7119	3.64392	4.8817
99	9.65928	8.53718	20.5101	5.10149	4.92797	19.2607	4.52309	4.85856
100	9.67085	8.57189	20.4869	5.07835	4.85856	19.9548	3.81744	4.83542
101	9.69398	8.62973	20.4291	5.43696	4.8817	19.2376	4.15291	4.84699
102	9.63614	8.58346	20.4407	4.76602	4.85856	19.9317	4.18762	4.84699
103	9.65928	8.3521	20.6836	5.63362	4.84699	19.3648	3.90998	4.81229
104	9.64771	8.50248	20.5101	4.78915	4.68504	19.8738	4.16448	4.85856
105	9.67085	8.50248	20.3828	2.77632	1.39973	12.5744	2.19792	5.13619
106	9.62458	8.37523	20.8571	4.38427	3.66706	18.4857	3.87528	5.79557
107	9.64771	8.36366	20.6489	4.74288	3.88685	20.0589	4.0835	5.79557
108	9.64771	8.53718	20.4985	4.69661	3.94469	20.1515	4.07194	5.77243
109	9.67085	8.16701	20.8802	4.73131	3.95626	20.0358	4.0835	5.79557
110	9.62458	8.23642	20.7761	4.70818	3.97939	20.1862	4.0488	5.80714
111	9.67085	8.53718	20.4754	4.78915	4.0835	20.1862	3.88685	5.7493
112	9.65928	8.05133	20.9381	4.76602	3.88685	20.1977	3.90998	5.77243
113	9.63614	8.17858	20.9034	4.78915	3.99096	20.1515	3.94469	5.784
114	9.64771	8.3868	20.6026	4.73131	4.00253	19.9779	4.23389	5.76086
115	9.65928	8.03976	20.9844	4.68504	4.00253	20.082	4.0835	5.77243
116	9.65928	8.20171	20.9034	4.81229	3.92155	20.1746	3.85214	5.7493
117	9.64771	8.17858	20.8455	4.76602	4.00253	20.1977	3.90998	5.76086
118	9.64771	8.03976	20.9034	4.71974	4.00253	19.9317	4.26859	5.7493
119	9.64771	8.1323	20.9496	4.87013	3.94469	20.0242	3.95626	5.7493
120	9.63614	8.03976	21.0306	4.70818	3.97939	20.2903	3.84058	5.7493
121	9.64771	8.12074	20.8918	4.8817	3.99096	19.8044	4.24546	5.76086
122	9.65928	7.92408	21.1116	4.6272	3.97939	20.406	3.87528	5.77243
123	9.65928	8.0629	20.9959	4.9511	3.97939	19.7697	4.14134	5.73773
124	9.63614	7.91251	21.1116	4.70818	3.97939	20.2209	3.99096	5.76086
125	9.65928	7.99349	21.0422	4.89326	3.7943	16.9587	3.62078	4.3727
126	9.64771	7.91251	20.9496	3.80587	4.09507	13.1991	2.892	3.00768
127	9.65928	7.88938	21.2388	5.1709	4.84699	19.4342	4.16448	4.97424
128	9.65928	8.00506	21.0769	5.22874	4.84699	19.5036	4.11821	5.04365
129	9.63614	7.73899	21.2967	5.2403	4.80072	19.4458	4.18762	5.00894
130	9.5436	8.01662	21.0769	5.19403	4.84699	19.4805	4.22232	5.02051
131	5.54107	6.42024	19.7234	5.08992	4.84699	19.4111	4.19918	4.8817
132	6.9755	6.29299	21.0653	5.03208	4.89326	19.0641	4.0141	5.03208
133	7.90094	7.06805	23.0435	4.90483	4.93954	18.9137	4.0835	5.15933
134	8.29426	7.12589	22.8121	5.11306	5.02051	18.9484	3.92155	5.25187
135	8.3521	7.44979	22.5345	4.98581	5.04365	18.9484	3.97939	5.36755
