4	0.013	0.829	1.806	0.717	0.509	1.551	1.067	0.558	
9	0.372	0.593	1.636	0.719	0.449	1.331	0.526	0.553	
14	0.475	0.93	1.47	0.732	0.549	1.446	0.596	0.615	
19	0.614	0.931	1.762	0.651	0.504	1.533	0.884	0.524	
24	1.121	0.958	1.799	0.835	0.556	1.77	0.901	0.555	
29	0.012	1.012	1.596	0.874	0.47	1.511	0.929	0.559	
34	0.624	0.894	1.649	0.838	0.465	1.682	0.724	0.528	
39	0.41	0.756	1.188	0.933	0.449	1.264	0.461	0.467	
44	0.408	1.252	1.627	0.719	0.57	1.735	0.669	0.59	
49	0.253	0.721	1.654	0.777	0.564	1.338	0.538	0.539	
54	0.353	0.799	1.34	0.897	0.439	1.466	0.721	0.631	
59	0.196	0.66	1.688	0.925	0.515	1.494	0.944	0.693	
64	0.014	0.907	1.7	0.954	0.567	2.068	0.857	0.564	
69	0.403	0.843	1.338	0.869	0.628	2.118	0.88	0.446	
74	0.815	0.768	1.606	1.062	0.661	1.705	0.653	0.701	
79	0.015	0.981	2.24	0.674	0.587	1.277	0.56	0.569	
84	0.014	0.744	1.665	0.614	0.387	1.299	0.877	0.479	
89	0.486	0.866	1.477	0.73	0.501	1.829	0.551	0.587	
94	0.177	1.139	1.623	0.989	0.49	2.207	0.991	0.507	
99	0.018	0.926	1.894	0.807	0.423	1.494	0.584	0.465	
104	0.015	0.872	1.308	0.562	0.714	1.37	0.753	0.752	
109	0.026	1.008	1.527	0.54	0.401	1.172	0.636	0.45	
114	0.465	1.231	1.698	0.633	0.57	1.619	0.869	0.559	
119	0.778	0.515	1.169	0.691	0.39	1.564	0.663	0.492	
124	0.016	0.658	1.341	0.997	0.543	1.668	0.512	0.529	
129	0.02	0.852	1.961	0.434	0.394	1.316	0.65	0.336	
134	0.024	0.622	1.374	0.59	0.492	1.592	0.77	0.428	
139	0.016	0.962	1.761	0.711	0.484	1.371	0.569	0.402	
144	0.733	1.215	2.122	0.67	0.581	1.665	0.594	0.424	
149	0.031	0.818	1.576	0.367	0.523	1.224	0.431	0.53	
154	0.02	0.872	1.648	0.479	0.755	1.482	0.776	0.639	
159	0.022	0.811	1.686	0.444	0.595	1.561	0.545	0.473	
164	0.019	0.67	1.92	0.635	0.607	1.338	0.613	0.61	
169	0.361	0.703	1.276	0.536	0.46	1.379	0.526	0.481	
174	0.163	0.664	1.602	0.33	0.527	1.379	0.631	0.687	
179	0.435	0.597	1.527	0.617	0.665	1.711	1.101	0.437	
184	0.022	0.741	1.636	0.416	0.562	1.506	0.462	0.455	
189	0.438	0.899	1.918	0.537	0.716	1.503	0.402	0.819	
194	0.926	0.959	2.406	0.687	0.307	1.352	0.489	0.433	
199	0.008	0.788	1.502	0.571	0.711	1.47	0.458	0.484	
204	0.014	0.478	1.272	0.449	0.393	1.526	1.131	0.409	
209	0.017	0.947	1.67	0.851	0.563	2.512	0.512	0.496	
214	0.011	0.824	1.528	0.7	0.292	1.798	0.682	0.566	
219	0.015	0.972	1.914	0.872	0.352	1.368	0.472	0.477	
224	0.01	0.973	1.538	0.613	0.242	1.285	0.502	0.62	
229	0.013	0.808	1.932	0.632	0.637	1.419	0.307	0.529	
234	0.013	0.728	2.352	0.614	0.689	1.465	0.54	0.639	
239	0.009	0.57	1.535	0.681	0.503	1.724	0.3	0.459	
244	0.011	1.03	2.293	0.709	0.694	1.714	0.826	0.337	
249	0.012	0.844	1.65	0.69	0.463	1.336	0.834	0.684	
254	0.017	0.907	1.818	0.533	0.445	1.647	0.488	0.425	
259	0.697	0.626	1.515	0.813	0.29	1.447	0.28	0.547	
264	0.014	1.013	2.898	0.673	0.535	1.587	0.622	0.563	
269	0.029	0.742	2.323	0.64	0.664	1.641	0.671	0.363	
274	0.016	1.097	1.826	0.961	0.46	1.492	0.688	0.382	
279	0.029	0.505	1.856	0.555	0.531	1.451	0.352	0.375	
284	0.014	0.807	2.178	0.401	0.463	1.305	0.435	0.263	
289	0.01	0.993	2.841	0.667	0.663	1.934	0.636	0.679	
294	0.016	1.029	2.351	0.848	0.466	1.784	0.57	0.532	
